query,results
something my parents and kids can all watch together,"{""entity_candidates"":[]}"
critically acclaimed sci-fi from the last 5 years under 2 hours,"{""entity_candidates"":[]}"
"background movie while I work, nothing too demanding","{""entity_candidates"":[]}"
first date movie that's romantic but not cheesy,"{""entity_candidates"":[]}"
R-rated crime dramas from before 1980,"{""entity_candidates"":[]}"
heist movies with a twist ending where the villain wins,"{""entity_candidates"":[]}"
horror movies but not slashers or torture porn,"{""entity_candidates"":[]}"
foreign language best picture nominees,"{""entity_candidates"":[]}"
something feel-good and lighthearted,"{""entity_candidates"":[]}"
A24 horror movies,"{""entity_candidates"":[{""candidate_entity_phrase"":""A24"",""most_likely_category"":""studio"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""A24""}]}"
that leandro dicaprio boat movie from 2001,"{""entity_candidates"":[{""candidate_entity_phrase"":""leandro dicaprio"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Leonardo DiCaprio""}]}"
movies about grief and learning to move on,"{""entity_candidates"":[]}"
"underrated 90s neo-noir thrillers with morally ambiguous protagonists, preferably under 2 hours, not directed by the usual suspects like Tarantino","{""entity_candidates"":[{""candidate_entity_phrase"":""Tarantino"",""most_likely_category"":""person"",""exclude_from_results"":true,""corrected_and_normalized_entity"":""Quentin Tarantino""}]}"
thrillers that aren't too stressful or dark,"{""entity_candidates"":[]}"
that movie with the spinning top at the end,"{""entity_candidates"":[]}"
movies with a character like Walter White,"{""entity_candidates"":[]}"
Christoph Nolan's space movie with Matt Damon,"{""entity_candidates"":[{""candidate_entity_phrase"":""Christoph Nolan"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Christopher Nolan""},{""candidate_entity_phrase"":""Matt Damon"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Matt Damon""}]}"
90s comedies,"{""entity_candidates"":[]}"
nonlinear storytelling like Pulp Fiction or Memento,"{""entity_candidates"":[{""candidate_entity_phrase"":""Pulp Fiction"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Pulp Fiction""},{""candidate_entity_phrase"":""Memento"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Memento""}]}"
The Godfather,"{""entity_candidates"":[{""candidate_entity_phrase"":""The Godfather"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""The Godfather""}]}"
80s action without Schwarzenegger or Stallone,"{""entity_candidates"":[{""candidate_entity_phrase"":""Schwarzenegger"",""most_likely_category"":""person"",""exclude_from_results"":true,""corrected_and_normalized_entity"":""Arnold Schwarzenegger""},{""candidate_entity_phrase"":""Stallone"",""most_likely_category"":""person"",""exclude_from_results"":true,""corrected_and_normalized_entity"":""Sylvester Stallone""}]}"
Spielberg and Lucas collaborations,"{""entity_candidates"":[{""candidate_entity_phrase"":""Spielberg"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Steven Spielberg""},{""candidate_entity_phrase"":""Lucas"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""George Lucas""}]}"
films directed by Fincher starring Brad Pitt,"{""entity_candidates"":[{""candidate_entity_phrase"":""Fincher"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""David Fincher""},{""candidate_entity_phrase"":""Brad Pitt"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Brad Pitt""}]}"
Tom Hanks movies,"{""entity_candidates"":[{""candidate_entity_phrase"":""Tom Hanks"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Tom Hanks""}]}"
shawshank movie prison escape morgan friedman,"{""entity_candidates"":[{""candidate_entity_phrase"":""shawshank"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Shawshank""},{""candidate_entity_phrase"":""morgan friedman"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Morgan Freeman""}]}"
