query,result
two strangers handcuffed together escape the city in one night set in tokyo time loop twist ending,"{""plot_events"": {""relevance"": ""large"", ""justification"": ""The query explicitly describes multiple concrete plot elements: forced partnership (strangers handcuffed together), escape narrative, specific story setting (Tokyo in one night), and a plot mechanic (time loop twist ending).""}, ""viewer_experience"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes only plot mechanics (strangers handcuffed, escape, time loop, twist ending) and production details (Tokyo setting, one night timeframe) with zero experiential language about how the movie feels to watch.""}, ""production"": {""relevance"": ""small"", ""justification"": ""The query primarily describes plot elements (strangers handcuffed, escape, time loop twist), with only 'set in Tokyo' potentially touching production as a filming location\u2014though this phrasing more likely indicates story setting rather than where it was filmed.""}, ""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes specific plot elements (strangers handcuffed, escape, Tokyo setting, time loop, twist ending) with no mention of why/when to watch, motivations, scenarios, feature draws, or audience fit.""}, ""reception"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes pure plot elements (handcuffed strangers, escape, Tokyo setting, time loop twist) without any evaluative language about how the movie was received, reviewed, or discussed.""}, ""plot_analysis"": {""relevance"": ""small"", ""justification"": ""The query primarily describes specific plot events (handcuffed strangers, escape, Tokyo setting, time loop twist) rather than genre, theme, or story type, though 'time loop twist ending' hints at a conceptual element that marginally overlaps with plot analysis.""}, ""narrative_techniques"": {""relevance"": ""large"", ""justification"": ""The query explicitly requests multiple narrative techniques: 'one night' (ticking clock/real-time), 'time loop' (time structure), and 'twist ending' (information control), with 'two strangers handcuffed together' also suggesting a forced proximity/converging storyline structure.""}}"
date night movie to unwind after a long day funny but not gross no jump scares,"{""watch_context"": {""relevance"": ""large"", ""justification"": ""The query explicitly specifies scenario (date night), motivation (unwind after long day), feature preferences (funny but not gross, no jump scares), and audience fit \u2014 all directly aligned with this vector's contents.""}, ""production"": {""relevance"": ""not_relevant"", ""justification"": ""The query describes desired viewer experience (funny, relaxing, not gross, no jump scares) without any production facts like director, decade, country, format, or cast.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""User searches entirely by vibe/feeling ('unwind', 'funny but not gross') and avoidance of experience elements ('no jump scares'), with no plot events, settings, or character situations specified.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The query explicitly searches by experiential criteria: \""unwind\"" (emotional goal), \""funny\"" (tone), \""not gross\"" and \""no jump scares\"" (experiential negations), with \""date night\"" providing context but the core search being entirely about how the movie feels to watch.""}, ""plot_analysis"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses entirely on viewing context (date night, unwinding), emotional experience (funny), and content restrictions (no gross humor, no jump scares), with no mention of genre, theme, or story type.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""User is searching by experiential qualities (funny, relaxing) and content restrictions (no gross humor, no jump scares), with no mention of narrative structure or storytelling techniques.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The query contains evaluative language ('funny but not gross') that could appear in reviews discussing how the movie is received, but the primary intent is situational (date night, unwinding) and experiential (no jump scares) rather than seeking movies based on critical acclaim, awards, or how they're evaluated by others.""}}"
movies like parasite but american and funnier not dumb,"{""plot_analysis"": {""relevance"": ""large"", ""justification"": ""User explicitly references Parasite for thematic similarity (class conflict, social satire) while requesting tonal adjustments, making plot analysis the primary search vector.""}, ""production"": {""relevance"": ""large"", ""justification"": ""User explicitly specifies 'American' (country of origin/production) as a key filter, and references 'Parasite' (Korean production) as a comparison point for production context, making production metadata central to the search intent.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The user explicitly searches by viewer experience: 'like Parasite' seeks a similar feel, 'funnier' directly modifies tone/experience, and 'not dumb' is an experiential negation about cognitive engagement; 'american' is the only non-experiential element.""}, ""reception"": {""relevance"": ""large"", ""justification"": ""The query explicitly uses comparative evaluation ('like parasite but...'), evaluative descriptors ('funnier', 'not dumb'), and seeks movies based on how they would be received/discussed relative to a known acclaimed film.""}, ""watch_context"": {""relevance"": ""medium"", ""justification"": ""The query includes 'funnier' as a tonal/motivational preference (seeking humor as a reason to watch) and 'not dumb' as an audience-fit qualifier, though the primary search driver is genre/nationality similarity to Parasite.""}, ""narrative_techniques"": {""relevance"": ""small"", ""justification"": ""The reference to 'Parasite' could imply interest in its class-thriller structure or tonal blend, but the query primarily focuses on nationality, humor level, and intelligence\u2014none of which are narrative technique descriptors.""}, ""plot_events"": {""relevance"": ""small"", ""justification"": ""The 'like Parasite' comparison suggests interest in similar class themes/story shape (plot_analysis more than literal events), while 'American' and 'funnier' point to production and tone; plot content is a minor hedge given the reference but not the primary search driver.""}}"
manly action movies from the 80s,"{""production"": {""relevance"": ""large"", ""justification"": ""User explicitly specifies 'from the 80s' which directly indicates production decade, a core production metadata element.""}, ""plot_events"": {""relevance"": ""small"", ""justification"": ""The query primarily targets genre ('action') and production era ('80s'), but 'manly' hints at character situations and archetypes that could involve plot-relevant character dynamics, making this a minor hedge.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""User searches by genre ('action'), tone descriptor ('manly'), and production era ('80s') \u2014 none of these relate to narrative techniques, POV, time structure, or storytelling craft.""}, ""viewer_experience"": {""relevance"": ""medium"", ""justification"": ""The user uses \""manly\"" which is an experiential descriptor (conveys a tone/vibe of masculinity), but \""action movies\"" and \""from the 80s\"" are genre and production facts without experiential language.""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""The query specifies genre ('action') and implies themes of masculinity/heroism common in 80s action films, but the '80s' qualifier is a production/decade filter which is outside this vector's scope.""}, ""watch_context"": {""relevance"": ""medium"", ""justification"": ""The query specifies 'action movies' which implies seeking adrenaline/entertainment motivation, and 'manly' suggests a target audience fit and certain feature expectations (tough heroes, practical effects, macho energy), though the 80s decade is a production fact outside this vector's scope.""}, ""reception"": {""relevance"": ""medium"", ""justification"": ""The term 'manly' is evaluative language that appears in how people discuss and recommend action movies, reflecting reception-based framing about perceived masculinity and audience reactions, though the query also contains non-evaluative elements (genre, decade).""}}"
1990s french psych thriller not slow not frantic nonlinear timeline unreliable narrator no gore but creepy critics said beautiful cinematography plot holes,"{""watch_context"": {""relevance"": ""medium"", ""justification"": ""The query includes 'beautiful cinematography' as a feature draw/reason to choose and 'not slow not frantic' as pacing preference for viewing experience, though most terms focus on plot structure, genre, and production qualities.""}, ""reception"": {""relevance"": ""large"", ""justification"": ""The query is heavily structured around critical reception and evaluative framing: 'critics said beautiful cinematography' and 'plot holes' are direct reception references, while 'not slow not frantic' and 'creepy' reflect how the film is discussed and reviewed.""}, ""production"": {""relevance"": ""large"", ""justification"": ""The query explicitly specifies '1990s' (production decade) and 'French' (country of origin), which are direct production metadata matches; while other elements target plot, pacing, and reception, these explicit production facts warrant high relevance.""}, ""plot_events"": {""relevance"": ""small"", ""justification"": ""The query contains one plot element ('nonlinear timeline') and one character situation ('unreliable narrator'), but the majority of search criteria are genre labels, pacing preferences, production qualities (cinematography), and critical reception\u2014making plot a minor component of the overall search intent.""}, ""narrative_techniques"": {""relevance"": ""large"", ""justification"": ""User explicitly requests multiple narrative techniques: nonlinear timeline and unreliable narrator, which are core contents of this vector; while other terms (1990s, French, psych thriller, cinematography) are production/genre/experience factors, the structural search intentions are clearly stated and central to the query.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The query is packed with experiential descriptors: 'not slow', 'not frantic', 'no gore but creepy', and 'beautiful cinematography' all describe how the movie feels to watch, alongside experiential negations and aesthetic vibes, making this explicitly a search by viewer experience despite also including some production/technique elements.""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""The query includes strong thematic/genre signals ('psych thriller', 'unreliable narrator', 'creepy') that align with plot analysis content, but these are heavily diluted by production filters ('1990s French'), pacing preferences ('not slow not frantic'), technical qualities ('beautiful cinematography'), and negative constraints ('no gore', 'plot holes') that fall outside this vector's scope.""}}"
low budget indie filmed in new york directed by nolan?? (or similar vibe) mixed reviews overrated but still smart,"{""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses entirely on production facts (budget, filming location, director), critical reception (mixed reviews, overrated), and vague vibe ('smart'), with no mention of what actually happens in the story.""}, ""viewer_experience"": {""relevance"": ""medium"", ""justification"": ""The query contains experiential elements ('smart', 'similar vibe') and evaluative tone ('overrated'), but the majority of search criteria are production-based (low budget, indie, filmed in New York, directed by Nolan, mixed reviews) rather than describing how the movie feels to watch.""}, ""plot_analysis"": {""relevance"": ""small"", ""justification"": ""The query is primarily about production facts (low budget, indie, NYC filming, director) and reception (mixed reviews, overrated but smart), with only a vague 'similar vibe' potentially touching on thematic territory; the 'smart' descriptor weakly suggests thematic depth but this is a minor element of the overall search intent.""}, ""reception"": {""relevance"": ""large"", ""justification"": ""The query explicitly searches by reception signals: 'mixed reviews', 'overrated', and 'smart' (evaluative quality), with comparative framing ('but still') showing the user is thinking about how the movie is discussed and evaluated by critics/audiences.""}, ""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""The query focuses on production facts (low budget, indie, filming location, director, reviews/ratings) and vibe similarity rather than why/when to watch, motivations, scenarios, or feature draws.""}, ""narrative_techniques"": {""relevance"": ""small"", ""justification"": ""The query primarily searches by production factors (budget, location, director, reception) and vague experiential quality ('smart'), with only a weak indirect nod to Nolan who is known for complex narrative structures; no explicit technique language is used.""}, ""production"": {""relevance"": ""large"", ""justification"": ""User explicitly specifies multiple production facts: 'low budget indie' (budget/scale), 'filmed in new york' (filming location), and 'directed by nolan' (director), making production metadata central to the search intent despite the additional vibe and reception elements.""}}"
hand drawn animation not cgi spanish audio coming of age dramedy uplifting and hopeful iconic songs great dialogue,"{""production"": {""relevance"": ""large"", ""justification"": ""The user explicitly specifies production facts: 'hand drawn animation' (medium), 'not cgi' (effects approach), and 'spanish audio' (language), which directly map to this vector's contents.""}, ""reception"": {""relevance"": ""medium"", ""justification"": ""The query contains evaluative language ('uplifting and hopeful', 'iconic songs', 'great dialogue') that reflects how movies are discussed and reviewed, though these are mixed with technical/production criteria (hand drawn animation, Spanish audio) that aren't reception-based.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The query explicitly uses multiple experiential descriptors ('uplifting and hopeful', 'iconic songs', 'great dialogue') that directly describe how the movie feels to watch, alongside production details.""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""The query includes \""coming of age dramedy\"" which directly maps to genre and thematic content in plot_analysis, but also contains substantial production/technical criteria (hand drawn, Spanish audio) and experiential qualities (uplifting, iconic songs) that fall outside this vector's scope.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""This query searches by production technique (hand-drawn animation), audio language, genre label (coming-of-age dramedy), emotional vibe (uplifting/hopeful), and quality attributes (iconic songs, great dialogue) \u2014 none of which describe what literally happens in the story.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The query specifies production method (hand drawn animation, not CGI), language (Spanish audio), genre (coming of age dramedy), emotional experience (uplifting, hopeful), and quality markers (iconic songs, great dialogue) \u2014 none of which relate to narrative techniques like POV, time structure, or storytelling craft.""}, ""watch_context"": {""relevance"": ""large"", ""justification"": ""The query explicitly includes multiple watch-context signals: motivation ('uplifting and hopeful'), features as reasons-to-choose ('iconic songs', 'great dialogue'), and audience/scenario fit ('coming of age' implies thematic appropriateness). These directly align with the vector's focus on why/when to watch and feature draws.""}}"
love-to-hate villain redemption arc but also unreliable narrator fourth wall breaks,"{""production"": {""relevance"": ""not_relevant"", ""justification"": ""This query describes narrative techniques and character archetypes (villain redemption arc, unreliable narrator, fourth wall breaks) which relate to plot structure and storytelling devices, not to how/when/where/by whom the movie was produced.""}, ""plot_events"": {""relevance"": ""small"", ""justification"": ""The 'love-to-hate villain redemption arc' describes a character situation that could match plot events, but 'unreliable narrator' and 'fourth wall breaks' are narrative techniques, making this primarily a technique-focused search with minor plot relevance.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The query describes plot/narrative techniques (villain redemption arc, unreliable narrator, fourth wall breaks) without evaluative framing, though these are elements critics often discuss in reviews.""}, ""viewer_experience"": {""relevance"": ""small"", ""justification"": ""The query contains 'love-to-hate' which is a mild experiential descriptor (how the villain feels to watch), but primarily describes plot mechanics (redemption arc, unreliable narrator, fourth wall breaks) without experiential language about tone, emotion, or viewing feel.""}, ""watch_context"": {""relevance"": ""not_relevant"", ""justification"": ""This query searches by plot elements (villain redemption arc), narrative technique (unreliable narrator), and stylistic device (fourth wall breaks) \u2014 none of which relate to why/when someone would choose to watch a movie or what viewing features would draw them in.""}, ""plot_analysis"": {""relevance"": ""large"", ""justification"": ""The query explicitly searches for specific narrative and thematic elements: a redemption arc (character arc outcome/meaning), love-to-hate villain (character type and thematic positioning), and storytelling devices (unreliable narrator, fourth wall breaks) that are fundamentally about what type of story and experience the movie delivers.""}, ""narrative_techniques"": {""relevance"": ""large"", ""justification"": ""User explicitly searches by multiple narrative techniques: audience-character relationship (love-to-hate villain), character arc structure (redemption arc), POV style (unreliable narrator), and meta elements (fourth wall breaks).""}}"
"doc about free solo climbers, inspiring but not preachy","{""watch_context"": {""relevance"": ""medium"", ""justification"": ""User specifies motivation ('inspiring') and tone preference ('not preachy'), which align with watch context, though the core search is documentary subject matter.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""User explicitly searches by experiential qualities: 'inspiring' (emotional palette) and 'not preachy' (tone negation), directly matching the viewer experience vector's contents.""}, ""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches by subject matter (free solo climbing), emotional experience (inspiring), and tone (not preachy), with no reference to narrative structure, POV, time technique, or storytelling craft.""}, ""reception"": {""relevance"": ""medium"", ""justification"": ""The query uses evaluative language ('inspiring but not preachy') that describes how the documentary is received and discussed in reviews, directly relating to reception qualities, though the core search is for a subject matter (free solo climbers).""}, ""production"": {""relevance"": ""small"", ""justification"": ""The query specifies 'doc' (documentary format, which is a production medium), but the primary search intentions are subject matter ('free solo climbers') and tone ('inspiring but not preachy'), which relate to plot_events and viewer_experience vectors rather than production metadata.""}, ""plot_events"": {""relevance"": ""not_relevant"", ""justification"": ""The query searches for a documentary about free solo climbing with specific tonal qualities ('inspiring but not preachy'), which relates to genre (documentary), subject matter (free solo climbing as a topic), and viewer experience (tone/vibe), none of which are plot events, settings, or narrative situations contained in this vector.""}, ""plot_analysis"": {""relevance"": ""medium"", ""justification"": ""User specifies genre ('doc') and wants a certain type of story ('inspiring'), which aligns with thematic content, but 'free solo climbers' is a specific subject/topic rather than abstract story type, and 'not preachy' is a tonal preference about delivery rather than thematic meaning.""}}"
"romcom about two rival bakers, light and flirty, 00s vibe","{""narrative_techniques"": {""relevance"": ""not_relevant"", ""justification"": ""User searches by genre (romcom), plot premise (rival bakers), experiential tone (light, flirty), and production era (00s vibe) \u2014 no narrative technique elements present.""}, ""production"": {""relevance"": ""small"", ""justification"": ""The '00s vibe' phrasing refers to aesthetic/viewer experience rather than production decade, though it ambiguously could touch on production era; the core search is for plot (rival bakers) and tone (light, flirty).""}, ""plot_analysis"": {""relevance"": ""large"", ""justification"": ""User explicitly searches by genre (romcom), theme (rivalry, romance), and story type (light and flirty), all of which directly map to plot analysis content including genre labels, themes, and generalized story shapes.""}, ""plot_events"": {""relevance"": ""medium"", ""justification"": ""The query includes concrete plot elements (rival bakers, romantic comedy structure with rivals-to-lovers arc) that match plot events content, though 'light and flirty' and '00s vibe' pull toward viewer experience and production era.""}, ""reception"": {""relevance"": ""small"", ""justification"": ""The evaluative descriptors 'light and flirty' and '00s vibe' are qualities that could appear in reviews, but the primary search intent is plot-based (rival bakers) and experiential (tone/era feel), with reception being a minor implicit element.""}, ""viewer_experience"": {""relevance"": ""large"", ""justification"": ""The query uses multiple experiential descriptors: 'light and flirty' (emotional tone), '00s vibe' (aesthetic experience), and 'romcom' implies a feel-good viewing experience, with the plot premise serving only as a framing device for the desired mood.""}, ""watch_context"": {""relevance"": ""large"", ""justification"": ""User explicitly specifies motivation (\""light and flirty\""), scenario implication (romcom viewing context), and feature draw (\""00s vibe\"" as aesthetic/atmospheric reason to choose), all directly matching the WATCH CONTEXT vector's focus on why/when to watch and feature-based selection.""}}"
