query,results
movies like parasite but american and funnier not dumb,"{""plot_events_data"":{""relevance"":""small""},""plot_analysis_data"":{""relevance"":""large""},""viewer_experience_data"":{""relevance"":""large""},""watch_context_data"":{""relevance"":""medium""},""narrative_techniques_data"":{""relevance"":""small""},""production_data"":{""relevance"":""medium""},""reception_data"":{""relevance"":""large""}}"
hand drawn animation not cgi spanish audio coming of age dramedy uplifting and hopeful iconic songs great dialogue,"{""plot_events_data"":{""relevance"":""not_relevant""},""plot_analysis_data"":{""relevance"":""large""},""viewer_experience_data"":{""relevance"":""large""},""watch_context_data"":{""relevance"":""large""},""narrative_techniques_data"":{""relevance"":""not_relevant""},""production_data"":{""relevance"":""large""},""reception_data"":{""relevance"":""medium""}}"
two strangers handcuffed together escape the city in one night set in tokyo time loop twist ending,"{""plot_events_data"":{""relevance"":""large""},""plot_analysis_data"":{""relevance"":""small""},""viewer_experience_data"":{""relevance"":""not_relevant""},""watch_context_data"":{""relevance"":""not_relevant""},""narrative_techniques_data"":{""relevance"":""large""},""production_data"":{""relevance"":""small""},""reception_data"":{""relevance"":""not_relevant""}}"
manly action movies from the 80s,"{""plot_events_data"":{""relevance"":""small""},""plot_analysis_data"":{""relevance"":""small""},""viewer_experience_data"":{""relevance"":""medium""},""watch_context_data"":{""relevance"":""medium""},""narrative_techniques_data"":{""relevance"":""not_relevant""},""production_data"":{""relevance"":""large""},""reception_data"":{""relevance"":""medium""}}"
1990s french psych thriller not slow not frantic nonlinear timeline unreliable narrator no gore but creepy critics said beautiful cinematography plot holes,"{""plot_events_data"":{""relevance"":""small""},""plot_analysis_data"":{""relevance"":""medium""},""viewer_experience_data"":{""relevance"":""medium""},""watch_context_data"":{""relevance"":""medium""},""narrative_techniques_data"":{""relevance"":""medium""},""production_data"":{""relevance"":""medium""},""reception_data"":{""relevance"":""large""}}"
date night movie to unwind after a long day funny but not gross no jump scares,"{""plot_events_data"":{""relevance"":""not_relevant""},""plot_analysis_data"":{""relevance"":""not_relevant""},""viewer_experience_data"":{""relevance"":""large""},""watch_context_data"":{""relevance"":""large""},""narrative_techniques_data"":{""relevance"":""not_relevant""},""production_data"":{""relevance"":""not_relevant""},""reception_data"":{""relevance"":""small""}}"
love-to-hate villain redemption arc but also unreliable narrator fourth wall breaks,"{""plot_events_data"":{""relevance"":""medium""},""plot_analysis_data"":{""relevance"":""large""},""viewer_experience_data"":{""relevance"":""small""},""watch_context_data"":{""relevance"":""not_relevant""},""narrative_techniques_data"":{""relevance"":""large""},""production_data"":{""relevance"":""not_relevant""},""reception_data"":{""relevance"":""small""}}"
science fiction war epic intergalactic warfare morally gray lead ticking clock deadline red herrings,"{""plot_events_data"":{""relevance"":""medium""},""plot_analysis_data"":{""relevance"":""large""},""viewer_experience_data"":{""relevance"":""not_relevant""},""watch_context_data"":{""relevance"":""not_relevant""},""narrative_techniques_data"":{""relevance"":""large""},""production_data"":{""relevance"":""not_relevant""},""reception_data"":{""relevance"":""medium""}}"
low budget indie filmed in new york directed by nolan?? (or similar vibe) mixed reviews overrated but still smart,"{""plot_events_data"":{""relevance"":""not_relevant""},""plot_analysis_data"":{""relevance"":""small""},""viewer_experience_data"":{""relevance"":""medium""},""watch_context_data"":{""relevance"":""not_relevant""},""narrative_techniques_data"":{""relevance"":""small""},""production_data"":{""relevance"":""large""},""reception_data"":{""relevance"":""large""}}"
"romcom about two rival bakers, light and flirty, 00s vibe","{""plot_events_data"":{""relevance"":""medium""},""plot_analysis_data"":{""relevance"":""large""},""viewer_experience_data"":{""relevance"":""large""},""watch_context_data"":{""relevance"":""medium""},""narrative_techniques_data"":{""relevance"":""not_relevant""},""production_data"":{""relevance"":""small""},""reception_data"":{""relevance"":""small""}}"
