query,results
something my parents and kids can all watch together,"{""entity_candidates"":[]}"
thrillers that aren't too stressful or dark,"{""entity_candidates"":[]}"
critically acclaimed sci-fi from the last 5 years under 2 hours,"{""entity_candidates"":[]}"
R-rated crime dramas from before 1980,"{""entity_candidates"":[]}"
foreign language best picture nominees,"{""entity_candidates"":[]}"
movies about grief and learning to move on,"{""entity_candidates"":[]}"
"background movie while I work, nothing too demanding","{""entity_candidates"":[]}"
90s comedies,"{""entity_candidates"":[]}"
something feel-good and lighthearted,"{""entity_candidates"":[]}"
movies with a character like Walter White,"{""entity_candidates"":[{""candidate_entity_phrase"":""Walter White"",""most_likely_category"":""character"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Walter White""}]}"
Tom Hanks movies,"{""entity_candidates"":[{""candidate_entity_phrase"":""Tom Hanks"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Tom Hanks""}]}"
"underrated 90s neo-noir thrillers with morally ambiguous protagonists, preferably under 2 hours, not directed by the usual suspects like Tarantino","{""entity_candidates"":[{""candidate_entity_phrase"":""Tarantino"",""most_likely_category"":""person"",""exclude_from_results"":true,""corrected_and_normalized_entity"":""Quentin Tarantino""}]}"
that movie with the spinning top at the end,"{""entity_candidates"":[{""candidate_entity_phrase"":""spinning top"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Inception""}]}"
A24 horror movies,"{""entity_candidates"":[{""candidate_entity_phrase"":""A24"",""most_likely_category"":""studio"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""A24""}]}"
that leandro dicaprio boat movie from 2001,"{""entity_candidates"":[{""candidate_entity_phrase"":""leandro dicaprio"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Leonardo DiCaprio""},{""candidate_entity_phrase"":""boat movie"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""boat movie""}]}"
films directed by Fincher starring Brad Pitt,"{""entity_candidates"":[{""candidate_entity_phrase"":""Fincher"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""David Fincher""},{""candidate_entity_phrase"":""Brad Pitt"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Brad Pitt""}]}"
nonlinear storytelling like Pulp Fiction or Memento,"{""entity_candidates"":[{""candidate_entity_phrase"":""Pulp Fiction"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Pulp Fiction""},{""candidate_entity_phrase"":""Memento"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Memento""}]}"
