query,results
movies like parasite but american and funnier not dumb,"{""plot_events_data"":{""relevance"":""small"",""justification"":""The 'like Parasite' comparison primarily seeks similar themes/class commentary (plot_analysis) and tone adjustments (viewer_experience), though 'American' could imply setting; plot events are a minor hedge factor.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""User explicitly references Parasite for thematic similarity (class conflict, social satire) while requesting modifications (American setting, funnier tone), making plot_analysis the primary vector for this search.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The user explicitly searches for movies 'like Parasite' (seeking similar experiential feel) and modifies it with experiential descriptors 'funnier' and 'not dumb' (tone/comedic experience), making viewer experience the primary search dimension.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The query primarily seeks genre/theme matches (social satire like Parasite) with tonal adjustments (funnier, not dumb), but 'funnier' touches on motivation/audience fit for choosing a comedy-satire hybrid, making watch context partially relevant.""},""narrative_techniques_data"":{""relevance"":""small"",""justification"":""User references Parasite, which is structurally famous for its genre shift and class-commentary framework, but primary intent is tonal (funnier) and national origin (American), not technique; small hedge for Parasite's known structural approach.""},""production_data"":{""relevance"":""medium"",""justification"":""User specifies 'American' (country of origin) which is a production fact, but 'like Parasite' references plot/themes and 'funnier not dumb' describes tone/quality, making production only a partial factor in the search intent.""},""reception_data"":{""relevance"":""large"",""justification"":""The query explicitly uses comparative evaluation ('like parasite'), evaluative judgment ('funnier'), and quality assessment ('not dumb'), all directly invoking how movies are received and discussed.""}}"
hand drawn animation not cgi spanish audio coming of age dramedy uplifting and hopeful iconic songs great dialogue,"{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""The query specifies production technique (hand drawn animation, not CGI), language (Spanish audio), genre (coming of age dramedy), emotional tone (uplifting, hopeful), and quality markers (iconic songs, great dialogue) — none of which describe literal plot events, settings, or character situations.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""The query explicitly searches by genre (\""coming of age dramedy\""), themes (\""uplifting and hopeful\""), and story type, which directly align with this vector's contents covering genre labels, themes, and core concepts.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The query contains multiple experiential descriptors including 'uplifting and hopeful' (emotional palette), 'great dialogue' (tone/engagement feel), and 'iconic songs' (sensory/emotional experience), alongside negation 'not cgi' which filters aesthetic experience.""},""watch_context_data"":{""relevance"":""large"",""justification"":""The query explicitly includes multiple watch-context features: 'uplifting and hopeful' (motivation), 'iconic songs' and 'great dialogue' (feature draws/reasons to choose), and 'hand drawn animation' paired with 'not cgi' suggests aesthetic preference as a selection criterion.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query specifies production method (hand drawn animation), language (Spanish audio), genre (coming of age dramedy), emotional tone (uplifting, hopeful), music quality, and dialogue quality—none of which relate to narrative structure or storytelling techniques.""},""production_data"":{""relevance"":""large"",""justification"":""The query explicitly specifies production facts: 'hand drawn animation not cgi' (medium/effects approach) and 'spanish audio' (language), which are core production metadata, alongside genre and quality descriptors.""},""reception_data"":{""relevance"":""medium"",""justification"":""The query contains multiple evaluative terms ('uplifting and hopeful', 'iconic songs', 'great dialogue') that reflect how movies are discussed in reviews, though these are mixed with production/technical specifications (hand drawn animation, Spanish audio) that aren't reception-focused.""}}"
two strangers handcuffed together escape the city in one night set in tokyo time loop twist ending,"{""plot_events_data"":{""relevance"":""large"",""justification"":""The query describes multiple specific plot events (strangers handcuffed together, escape the city, one night timeframe), story setting (Tokyo), and narrative mechanics (time loop, twist ending), all directly matching the vector's contents of literal plot events and character situations.""},""plot_analysis_data"":{""relevance"":""small"",""justification"":""The query primarily describes specific plot events (handcuffed strangers, escape, Tokyo setting, time loop twist) rather than thematic or story-type intentions; only 'escape' loosely suggests a survival/conflict type that marginally overlaps with plot analysis content.""},""viewer_experience_data"":{""relevance"":""not_relevant"",""justification"":""The query describes only plot mechanics (strangers handcuffed, escape, Tokyo setting, time loop, twist ending) with zero experiential language about how the movie feels to watch.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The query describes specific plot events, setting, and narrative structure without any mention of why/when to watch, motivations, scenarios, or feature draws.""},""narrative_techniques_data"":{""relevance"":""large"",""justification"":""The query explicitly requests multiple narrative techniques: real-time/one-night structure ('one night'), setting as structural constraint, and 'time loop' and 'twist ending' as direct time structure and information control techniques.""},""production_data"":{""relevance"":""small"",""justification"":""The query primarily describes plot events (strangers handcuffed, escape, time loop, twist ending) and story setting (Tokyo, one night), but 'set in Tokyo' could ambiguously imply filming location; however, the phrasing strongly suggests narrative setting rather than production origin.""},""reception_data"":{""relevance"":""not_relevant"",""justification"":""The query describes plot events, setting, and a twist ending structure without any evaluative language about how the movie was received, reviewed, or discussed by critics or audiences.""}}"
manly action movies from the 80s,"{""plot_events_data"":{""relevance"":""small"",""justification"":""The query includes '80s' which could ambiguously refer to story setting or production decade, and 'action' is a genre label, but 'manly' suggests character archetypes/situations which weakly touches on plot-adjacent content; overall this is primarily genre + production era with minor hedged plot relevance.""},""plot_analysis_data"":{""relevance"":""small"",""justification"":""While 'action movies' touches on genre, the query primarily filters by decade (production fact) and gendered audience appeal (viewing context/experience), with only weak thematic connection to the vector's plot analysis contents.""},""viewer_experience_data"":{""relevance"":""medium"",""justification"":""The query contains \""manly\"" which is an experiential descriptor (conveys a specific tone/feeling of masculinity and ruggedness), though \""action movies from the 80s\"" alone would be purely genre/production-based; the experiential element is meaningful but not dominant.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The query specifies 'action movies' which implies motivation (adrenaline, excitement) and features (fight choreography, stunts) as reasons to choose, though '80s' and 'manly' lean toward genre/era/production descriptors rather than watch context.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""User searches by genre ('action'), tone descriptor ('manly'), and production era ('80s') — none of which relate to narrative structure or storytelling technique.""},""production_data"":{""relevance"":""large"",""justification"":""User explicitly specifies production decade ('from the 80s') and implies genre, with 'manly action' being a production-era classification tied to 1980s Hollywood filmmaking conventions.""},""reception_data"":{""relevance"":""medium"",""justification"":""The term 'manly' is evaluative language commonly used in reviews and discussions about 80s action movies, indicating the user is thinking about how these films are received and described, though the primary search drivers are genre (action) and era (80s).""}}"
1990s french psych thriller not slow not frantic nonlinear timeline unreliable narrator no gore but creepy critics said beautiful cinematography plot holes,"{""plot_events_data"":{""relevance"":""small"",""justification"":""The query contains several plot-adjacent elements (nonlinear timeline, unreliable narrator) but these are narrative techniques rather than literal plot events; most descriptors are production facts (1990s, French), genre labels (psych thriller), vibes (creepy, not slow), or critical reception (cinematography, plot holes), with no specific story events, settings, or character situations mentioned.""},""plot_analysis_data"":{""relevance"":""medium"",""justification"":""The query contains strong thematic/genre signals ('psych thriller', 'unreliable narrator', 'creepy') that align with plot analysis content, but these are heavily diluted by production filters (1990s, French), experiential preferences ('not slow not frantic'), technical attributes ('nonlinear timeline', 'beautiful cinematography'), and reception details ('plot holes')—making thematic search only a meaningful but not dominant component.""},""viewer_experience_data"":{""relevance"":""medium"",""justification"":""The query contains substantial experiential language including pacing descriptors ('not slow', 'not frantic'), disturbance level ('no gore but creepy'), and aesthetic experience ('beautiful cinematography'), though it also includes significant non-experiential elements like production facts ('1990s', 'French'), technique ('nonlinear timeline', 'unreliable narrator'), and critical reception.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The query includes 'beautiful cinematography' as a feature draw (critics praised it), which directly aligns with the vector's content about features as reasons-to-choose; however, most of the query focuses on genre, decade, plot structure, and pacing rather than watch context motivations or scenarios.""},""narrative_techniques_data"":{""relevance"":""medium"",""justification"":""The query contains explicit narrative technique requests ('nonlinear timeline', 'unreliable narrator') which are core to this vector, but these are mixed with substantial non-technique filters (1990s, French, genre, pacing, gore level, cinematography, critical reception, plot holes) that dilute the structural search intent.""},""production_data"":{""relevance"":""medium"",""justification"":""The query contains explicit production signals ('1990s', 'French') which directly match this vector's contents, though substantial portions reference plot elements, tone, and reception that fall outside production metadata.""},""reception_data"":{""relevance"":""large"",""justification"":""The query is heavily weighted toward reception: explicit critic evaluation ('critics said beautiful cinematography'), identified flaws ('plot holes'), and evaluative framing of pacing qualities ('not slow not frantic'), all directly representing how the movie was received and discussed.""}}"
date night movie to unwind after a long day funny but not gross no jump scares,"{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""User is searching entirely by vibe/feeling ('unwind', 'funny but not gross') and experience constraints ('no jump scares'), with no mention of plot events, settings, or character situations.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching purely by viewing context (date night, unwind), experience goals (funny, not gross, no jump scares), and tonal preferences—none of which relate to thematic content, genre labels, or story meaning in the plot analysis vector.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""User explicitly searches by experiential criteria: 'unwind' (relaxation need), 'funny' (emotional tone), 'not gross' and 'no jump scares' (experiential negations for disturbance level), making this a direct viewer experience query despite 'date night' context.""},""watch_context_data"":{""relevance"":""large"",""justification"":""The query explicitly specifies scenario (date night), motivation (unwind after long day), feature requests (funny, not gross, no jump scares), and audience fit — all directly matching the vector's contents.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching by desired experience (funny, relaxing, no jump scares) and situational context (date night, unwinding), with no mention of narrative structure, POV, time structure, or storytelling techniques.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query describes desired mood (unwind), genre (funny), and negative constraints (not gross, no jump scares) — all viewer experience and content preferences with no production facts like decade, director, language, or format.""},""reception_data"":{""relevance"":""small"",""justification"":""The query contains evaluative language ('funny but not gross') that could appear in reviews, but the primary intent is finding a suitable watch context (date night, unwinding) with specific experiential constraints rather than seeking movies based on how they were critically received or discussed.""}}"
love-to-hate villain redemption arc but also unreliable narrator fourth wall breaks,"{""plot_events_data"":{""relevance"":""medium"",""justification"":""The query mixes plot elements (villain redemption arc) with narrative technique (unreliable narrator, fourth wall breaks); the redemption arc is plot-relevant but the framing devices are narrative_techniques, making this a partial match.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""User explicitly searches by story type (redemption arc), character archetype (love-to-hate villain), and narrative technique (unreliable narrator, fourth wall breaks) - all core plot analysis content.""},""viewer_experience_data"":{""relevance"":""small"",""justification"":""The query primarily describes plot/narrative techniques ('redemption arc', 'unreliable narrator', 'fourth wall breaks') without experiential language, though 'love-to-hate' carries minor tonal implication that could weakly transfer to viewer experience.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The query searches for specific plot elements (villain redemption arc) and narrative techniques (unreliable narrator, fourth wall breaks), with no mention of why/when to watch, viewing scenarios, motivations, or feature draws like soundtrack or cinematography.""},""narrative_techniques_data"":{""relevance"":""large"",""justification"":""User explicitly searches by four distinct narrative techniques: audience-character relationship ('love-to-hate villain'), character arc structure ('redemption arc'), POV/information control ('unreliable narrator'), and meta elements ('fourth wall breaks').""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query describes narrative techniques (unreliable narrator, fourth wall breaks) and character archetypes (love-to-hate villain, redemption arc), which relate to plot structure and storytelling devices rather than production metadata like cast, crew, filming location, or format.""},""reception_data"":{""relevance"":""small"",""justification"":""The query describes plot/narrative techniques (villain redemption arc, unreliable narrator, fourth wall breaks) without evaluative framing about how these elements were received, though such techniques are often discussed in reviews.""}}"
science fiction war epic intergalactic warfare morally gray lead ticking clock deadline red herrings,"{""plot_events_data"":{""relevance"":""medium"",""justification"":""The query includes specific plot elements (intergalactic warfare, morally gray lead, ticking clock deadline, red herrings) that describe what literally happens in the story, though it also contains genre labels ('science fiction war epic') that alone would not be relevant.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""The query explicitly specifies genre ('science fiction war epic'), story type ('intergalactic warfare'), character archetype ('morally gray lead'), and plot mechanics ('ticking clock deadline', 'red herrings') — all elements that map directly to thematic/conceptual story classification in plot analysis.""},""viewer_experience_data"":{""relevance"":""not_relevant"",""justification"":""The query describes plot mechanics (intergalactic warfare, ticking clock, red herrings), genre (science fiction war epic), and character type (morally gray lead) without any experiential language about how the movie feels to watch.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The query describes plot elements (intergalactic warfare, morally gray lead, ticking clock, red herrings), genre (science fiction, war epic), and narrative devices without any mention of why/when to watch, viewing scenarios, motivations, or feature draws like cinematography or soundtrack.""},""narrative_techniques_data"":{""relevance"":""large"",""justification"":""User explicitly requests multiple narrative techniques: 'ticking clock' (pacing device), 'red herrings' (information control), and 'morally gray lead' (audience-character relationship), alongside genre descriptors.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query describes plot elements (intergalactic warfare, morally gray lead, ticking clock, red herrings) and genre (science fiction war epic) with no mention of production facts like director, decade, language, filming location, or medium.""},""reception_data"":{""relevance"":""medium"",""justification"":""The query contains evaluative descriptors ('morally gray lead') and narrative technique terms ('red herrings') that reviewers commonly discuss when evaluating plot quality and character complexity, though the core search is driven by genre and plot elements.""}}"
low budget indie filmed in new york directed by nolan?? (or similar vibe) mixed reviews overrated but still smart,"{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""This query focuses entirely on production facts (budget, filming location, director), reception qualities (mixed reviews, overrated), and vague vibe descriptors ('smart'), with no mention of plot events, story settings, or character situations.""},""plot_analysis_data"":{""relevance"":""small"",""justification"":""The query is primarily about production facts (low budget, indie, New York filming, mixed reviews, overrated status) and director identity, but 'smart' and 'similar vibe' to Nolan hint at thematic/intellectual complexity that could weakly connect to plot analysis content.""},""viewer_experience_data"":{""relevance"":""medium"",""justification"":""The query contains experiential language ('similar vibe', 'smart') and evaluative tone ('overrated'), but the majority of search criteria are production-based facts (budget, location, director, reviews) rather than how the movie feels to watch.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The query focuses on production facts (budget, filming location, director identity), critical reception (mixed reviews, overrated), and intellectual quality ('smart') — none of which relate to watch context, scenarios, motivations, or feature draws for choosing when/why to watch.""},""narrative_techniques_data"":{""relevance"":""small"",""justification"":""The query primarily searches by production attributes (low budget, indie, New York, director) and reception (mixed reviews, overrated, smart), with only a vague 'similar vibe' to Nolan that could weakly imply his structural techniques like nonlinear storytelling or complex information control.""},""production_data"":{""relevance"":""large"",""justification"":""The query explicitly names multiple production facts: 'low budget indie' (budget scale), 'filmed in new york' (filming location), and 'directed by nolan' (director), making production the primary search dimension despite the additional 'vibe' and reception elements.""},""reception_data"":{""relevance"":""large"",""justification"":""The query explicitly uses multiple reception-based criteria: 'mixed reviews,' 'overrated,' and 'smart' (evaluative quality), with the entire search framed around how the movie was received and discussed rather than just its production facts.""}}"
"romcom about two rival bakers, light and flirty, 00s vibe","{""plot_events_data"":{""relevance"":""medium"",""justification"":""The query includes specific plot elements (rival bakers, romantic comedy structure) that describe what literally happens, but also mixes in vibe/feeling descriptors ('light and flirty', '00s vibe') that pull toward other vectors; the character situation and professional rivalry are solid plot content.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""User explicitly searches by genre (romcom), theme (rivalry, light/flirty tone), and story type (rival bakers), all core plot_analysis content.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The query uses explicit experiential language throughout: 'light and flirty' describes emotional tone, '00s vibe' is an aesthetic experience descriptor, and while 'romcom' and 'rival bakers' provide genre/plot framing, the user is clearly prioritizing how the movie feels to watch.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The query includes 'light and flirty' which signals a mood/motivation (want something breezy, romantic) and '00s vibe' as a stylistic feature draw, though 'romcom' and plot details about rival bakers are genre/plot elements outside this vector's scope.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by genre (romcom), plot premise (rival bakers), experiential tone (light, flirty), and production era (00s vibe) — none of which relate to narrative structure or storytelling technique.""},""production_data"":{""relevance"":""small"",""justification"":""The '00s vibe' is ambiguous—it could mean production decade (relevant) or aesthetic/energy (not relevant), but the dominant search intent is plot (rival bakers) and viewer experience (light, flirty), making production a minor element at best.""},""reception_data"":{""relevance"":""small"",""justification"":""The query contains evaluative language ('light and flirty') that could appear in reviews discussing tone, but the primary search intent is plot-based (rival bakers, romcom genre) and aesthetic (00s vibe), with reception evaluation being a minor framing element.""}}"
