query,results
date night movie to unwind after a long day funny but not gross no jump scares,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""romantic comedy, light comedy, feel-good humor, relationship humor, witty banter, comedy without crudeness, situational comedy, character-driven comedy, warm comedy, uplifting comedy""},""viewer_experience_data"":{""relevant_subquery_text"":""funny, lighthearted, laugh out loud, humorous, charming, romantic, feel good, cozy, relaxing, chill, unwind, low stress, not gross, no gore, not disturbing, no jump scares, not scary, not tense, easy to watch, comforting, pleasant, sweet, not intense, not stressful""},""watch_context_data"":{""relevant_subquery_text"":""date night, unwind after a long day, turn my brain off, feel-good watch, funny, comedy, not gross, no jump scares, low stress, relaxing comedy, easy watch, romantic partner bonding, cozy night in""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""date night movie, perfect for couples, feel-good, relaxing, easy watch, unwind, light and fun, funny, genuinely humorous, not gross-out humor, not crude, no toilet humor, not disgusting, no jump scares, not scary, gentle comedy, cozy, comforting, low stakes, charming, delightful, breezy, pleasant, soothing""}}"
movies like parasite but american and funnier not dumb,"{""plot_events_data"":{""relevant_subquery_text"":""family infiltrates wealthy household, poor family schemes against rich family, con artists pose as employees, social class deception, household infiltration, impostors in domestic service""},""plot_analysis_data"":{""relevant_subquery_text"":""class warfare, economic inequality, social satire, dark comedy, wealth disparity, upstairs downstairs, critique of capitalism, pretension exposed, darkly funny, biting satire, subversive humor, social thriller, economic anxiety, status obsession""},""viewer_experience_data"":{""relevant_subquery_text"":""social satire, class commentary, biting humor, darkly funny, clever, sharp wit, not dumb, not stupid, smart comedy, incisive, subversive, satirical, not heavy handed, entertaining satire, accessible but intelligent, witty, sly humor, not preachy, fun but meaningful, dark comedy with social bite, not cynical, not nihilistic, satisfying, well-crafted, surprising, genre bending, not predictable, not formulaic""},""watch_context_data"":{""relevant_subquery_text"":""Parasite appeal, class commentary, social satire, darkly funny, smart comedy, biting humor, clever satire, not dumb comedy, intelligent humor, sharp writing, conversation starter, culturally relevant, film buff pick""},""narrative_techniques_data"":{""relevant_subquery_text"":""class satire, social hierarchy contrast, genre hybrid structure, tonal shift, dark comedy, upstairs downstairs structure, economic inequality theme as plot engine, infiltration narrative, con artist protagonist, slow-burn escalation, midpoint genre pivot, ironic reversal, comeuppance structure""},""production_data"":{""relevant_subquery_text"":""American, United States, produced in united states""},""reception_data"":{""relevant_subquery_text"":""social satire, class commentary, sharp wit, clever, biting humor, darkly funny, incisive, smart comedy, not dumbed down, sophisticated, razor-sharp, timely, relevant, thought-provoking, satirical, skewers inequality, biting but accessible, intelligent crowd-pleaser, sharp social observation, not heavy-handed, deftly handled, acclaimed, award-worthy""}}"
manly action movies from the 80s,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""masculine identity crisis, hypermasculinity, lone hero against system, physical prowess as virtue, stoic warrior, revenge narrative, one man army, primal masculinity, action hero mythology, violent redemption, survival of the fittest, honor through violence, individualism versus institution, warrior code""},""viewer_experience_data"":{""relevant_subquery_text"":""high adrenaline, macho energy, testosterone fueled, tough guy, muscular, action packed, relentless, explosive, high stakes, physical, visceral, gritty, stoic hero, one man army, over the top, cheesy in a good way, campy, earnest, not self-aware, straightforward, not complicated, satisfying ending, triumphant, nostalgic, retro feel, 80s aesthetic, not subtle, loud, bombastic""},""watch_context_data"":{""relevant_subquery_text"":""manly action, macho action, tough guy movie, testosterone fueled, masculine energy, 80s nostalgia, retro action, classic action, must-see classic, iconic action, film buff pick, turn my brain off, adrenaline rush, escapist action, late night watch, weekend action movie""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""1980s, 80s""},""reception_data"":{""relevant_subquery_text"":""manly, masculine, macho, testosterone-fueled, tough guy, rugged, stoic hero, physical, gritty, no-nonsense, action-packed, explosive, high-octane, adrenaline, practical stunts, muscular, iconic 80s action, Schwarzenegger vibes, Stallone energy, over-the-top, gloriously dumb fun, unapologetically masculine, fist fights, one-liners, cool under pressure, lone wolf, charismatic badass""}}"
two strangers handcuffed together escape the city in one night set in tokyo time loop twist ending,"{""plot_events_data"":{""relevant_subquery_text"":""two strangers handcuffed together, handcuffed together escape, strangers escape city in one night, single night escape, tokyo setting, time loop, repeating same day, stuck in time loop, twist ending reveals time loop""},""plot_analysis_data"":{""relevant_subquery_text"":""forced proximity romance, strangers become allies, escape journey, one night transformation, urban isolation, fate versus free will, time loop, cyclical time, hidden truth revealed, reality questioned, assumptions challenged, revelation ending, connection forged under pressure, city as labyrinth, strangers find meaning together""},""viewer_experience_data"":{""relevant_subquery_text"":""high adrenaline, fast paced, relentless, edge of your seat, frantic energy, desperate, tense, suspenseful, night time atmosphere, neon soaked, urban escape, propulsive momentum, breathless, time pressure, ticking clock feel, romantic tension, forced proximity, unlikely partners, bickering chemistry, growing connection, intimate despite chaos, bittersweet ending, twist ending, mind blown, rewatchable, makes you rethink everything, clever twist, satisfying reveal, not predictable, subverted expectations, emotionally satisfying, cathartic, hopeful, not nihilistic""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":""forced proximity, reluctant partners, escape narrative, ticking clock deadline, single night structure, real-time structure, time loop structure, nonlinear timeline, twist ending, plot twist reversal, city escape archetype, road-trip, meet-cute""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
1990s french psych thriller not slow not frantic nonlinear timeline unreliable narrator no gore but creepy critics said beautiful cinematography plot holes,"{""plot_events_data"":{""relevant_subquery_text"":""nonlinear timeline, fragmented chronology, events out of order, unreliable narrator, narrator deceives audience, untrustworthy perspective, creepy atmosphere, psychological tension""},""plot_analysis_data"":{""relevant_subquery_text"":""psychological thriller, unreliable perspective, subjective truth, deception, things aren't what they seem, hidden truth, manipulation, perspective, fractured reality, creeping dread, atmospheric unease, slow-burn tension, mind games, paranoid atmosphere""},""viewer_experience_data"":{""relevant_subquery_text"":""psychological thriller, tense, unsettling, creepy, disturbing atmosphere, not slow, not frantic, nonlinear, fragmented timeline, unreliable narrator, keeps you guessing, disorienting, paranoid, mind bending, no gore, not gory, not bloody, visually stunning, beautiful to look at, atmospheric, stylish, dreamlike, disquieting, 90s feel, retro aesthetic, not predictable, challenging, thought provoking, slightly confusing, intellectually demanding, ambiguous""},""watch_context_data"":{""relevant_subquery_text"":""psychological thriller, tense but controlled pacing, not slow burn, not frantic, unreliable narrator, no gore, creepy atmosphere, beautiful cinematography, visual style, critics praised, film buff pick, conversation starter, divisive, plot holes don't matter, style over plot, atmospheric, unsettling, 90s feel, nostalgic thriller""},""narrative_techniques_data"":{""relevant_subquery_text"":""nonlinear timeline, unreliable narrator, psychological thriller structure, slow-burn reveal, atmospheric dread, not gore-driven horror, subjective hallucination perspective, paranoid narrator, fractured narrative, disorienting timeline, ambiguous reality""},""production_data"":{""relevant_subquery_text"":""1990s, French, France, nonlinear timeline, not slow, not frantic, not gore, no gore""},""reception_data"":{""relevant_subquery_text"":""beautiful cinematography, visually stunning, praised for visuals, striking imagery, gorgeous, critics praised the look, plot holes, holes in the story, doesn't hold together, logic issues, undermined by inconsistencies, unreliable narrator, you can't trust what you see, keeps you guessing, mind-bending, reality questioned, what's real, nonlinear timeline, fractured narrative, cleverly structured, puzzle-like, not slow, tight pacing, never boring, propulsive, not frantic, measured, controlled, restrained, creepy, unsettling, atmospheric, eerie, disturbing without gore, psychological tension, gets under your skin, 90s French, French cinema, European sensibility""}}"
hand drawn animation not cgi spanish audio coming of age dramedy uplifting and hopeful iconic songs great dialogue,"{""plot_events_data"":{""relevant_subquery_text"":""coming of age, growing up, adolescent protagonist, youth discovers identity, transition to adulthood""},""plot_analysis_data"":{""relevant_subquery_text"":""coming-of-age dramedy, uplifting, hopeful, self-discovery, growth through adversity, bittersweet transition to adulthood, emotional maturation, found meaning, resilience, joy and sorrow intertwined, celebration of life""},""viewer_experience_data"":{""relevant_subquery_text"":""hand drawn animation feel, warm, nostalgic, tactile, artisanal, organic, not cgi, not computer generated, not sterile, not cold, coming of age, growing up, self discovery, youthful, nostalgic, dramedy, bittersweet, laugh then cry, emotional, funny but moving, uplifting, hopeful, optimistic, feel good, heartwarming, inspiring, not depressing, not cynical, not bleak, iconic songs, memorable music, singable, emotional soundtrack, music that stays with you, great dialogue, quotable, witty, sharp writing, authentic voices, natural conversation, emotionally resonant dialogue, not wooden, not flat, Spanish audio, warm, passionate, expressive, lyrical feel""},""watch_context_data"":{""relevant_subquery_text"":""hand drawn animation, traditional animation, not CGI, Spanish audio, coming of age, dramedy, uplifting, hopeful, mood booster, feel-good, iconic songs, great soundtrack, memorable music, great dialogue, sharp writing, witty dialogue""},""narrative_techniques_data"":{""relevant_subquery_text"":""coming-of-age arc, dramedy tone, musical set pieces, dialogue-driven characterization""},""production_data"":{""relevant_subquery_text"":""hand-drawn animation, not CGI, Spanish audio, Spanish language""},""reception_data"":{""relevant_subquery_text"":""uplifting, hopeful, feel-good, heartwarming, inspiring, optimistic, emotionally resonant, great dialogue, quotable, sharp writing, witty, memorable lines, iconic songs, catchy soundtrack, memorable music, praised soundtrack, hand-drawn animation praised, beautiful traditional animation, stunning visuals, acclaimed animation, coming-of-age done right, authentic, relatable, emotionally true, praised for balancing humor and heart, tonally assured, well-crafted dramedy""}}"
"a goofy movie but i mean goofy like silly not the title, 90s vibe, witty dialogue, not slow","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""silly comedy, absurdist humor, witty dialogue, irreverent, farce, screwball energy, playful, lighthearted, comedic absurdity, rapid-fire banter""},""viewer_experience_data"":{""relevant_subquery_text"":""goofy, silly, zany, wacky, lighthearted, playful, not serious, funny, 90s feel, nostalgic, retro, witty, clever banter, sharp dialogue, snappy, fast paced, not slow, energetic, quick, not sluggish, breezy, upbeat""},""watch_context_data"":{""relevant_subquery_text"":""goofy movie, silly comedy, absurd humor, wacky, zany, 90s vibe, 90s style, 90s energy, nostalgic 90s feel, witty dialogue, clever banter, sharp writing, not slow, fast paced, quick moving, energetic pace, no slow moments, keeps moving""},""narrative_techniques_data"":{""relevant_subquery_text"":""self-referential humor, genre pastiche, trope subversion, witty dialogue, comedic timing, rapid-fire dialogue, banter, screwball energy""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""goofy, silly, zany, wacky, playful, lighthearted, fun, 90s vibe, 90s comedy, nostalgic, throwback, witty dialogue, clever banter, sharp writing, quotable, fast-paced, energetic, brisk, never drags, tightly paced, not boring, keeps moving""}}"
low budget indie filmed in new york directed by nolan?? (or similar vibe) mixed reviews overrated but still smart,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""intellectual puzzle, mind-bending narrative, reality questioned, perception and deception, time manipulation, layered structure, ambitious concepts, cerebral thriller, complex not convoluted, ideas over spectacle""},""viewer_experience_data"":{""relevant_subquery_text"":""ambitious, cerebral, intricate, mind-bending, intellectually demanding, complex puzzle, layered, thought provoking, self-serious, earnest, pretentious feel, divisive, polarizing, love it or hate it, overhyped but compelling, smart, clever, intellectually stimulating, not mainstream, indie spirit, scrappy, intimate scale, ambitious vision on limited means, gritty, urban feel, neurotic energy, talky, dialogue heavy, not polished, raw, authentic, not studio slick""},""watch_context_data"":{""relevant_subquery_text"":""indie feel, low budget energy, New York setting, smart but divisive, overrated but interesting, conversation starter, sparks debate, film buff discussion, cult following potential, ambitious but flawed, intellectual popcorn, director-driven, distinctive vision, love it or hate it, critically divisive""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""low budget, indie, filmed in New York, directed by Christopher Nolan, Nolan""},""reception_data"":{""relevant_subquery_text"":""low budget indie, New York setting, Nolan-esque, mind-bending, cerebral, clever, ambitious, mixed reviews, divisive, overrated, overhyped, pretentious, tries too hard, still smart, intellectually engaging, puzzle-box narrative, non-linear, ambitious but flawed, cult following, indie darling, film festival buzz, critics were split, love it or hate it, not for everyone, brainy, thinks it's smarter than it is, nevertheless impressive, small scale big ideas""}}"
love-to-hate villain redemption arc but also unreliable narrator fourth wall breaks,"{""plot_events_data"":{""relevant_subquery_text"":""villain redemption arc, antagonist redeems self, redemption journey, villain becomes hero""},""plot_analysis_data"":{""relevant_subquery_text"":""morally complex villain, villain redemption, second chances, people can change, moral ambiguity, earned redemption, hidden truth, deception, things aren't what they seem, subjective truth, unreliable perspective, manipulation, revelation, assumptions challenged""},""viewer_experience_data"":{""relevant_subquery_text"":""love to hate villain, charismatic antagonist, redemption arc, morally gray, complex villain, unreliable narrator, untrustworthy narrator, mind games, playing with audience, fourth wall breaks, self-aware, meta, direct address, winking at camera, clever, twisty, keeps you guessing, subversive, self-referential, morally complicated, satisfying character journey, earned redemption, not straightforward hero""},""watch_context_data"":{""relevant_subquery_text"":""love to hate villain, charismatic villain, villain you root for, redemption arc, complex villain, unreliable narrator, fourth wall breaks, meta storytelling, clever structure, film buff pick, conversation starter, mind-bending watch, keeps you guessing, playful narrative, self-aware movie""},""narrative_techniques_data"":{""relevant_subquery_text"":""love-to-hate villain, redemption arc, unreliable narrator, fourth-wall breaks, villain protagonist, sympathetic antagonist, direct address to audience, meta-narrative, narrator deceives audience, moral complexity arc""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""love-to-hate villain, compelling antagonist, charismatic villain, redemption arc, earns it, satisfying turnaround, complex villain, morally gray, unreliable narrator, can't trust what you see, keeps you guessing, mind games, fourth wall breaks, breaks the rules, self-aware, meta, clever, audacious, bold storytelling, pulls you in, disorienting in a good way, makes you work for it, rewatchable, layers upon layers""}}"
science fiction war epic intergalactic warfare morally gray lead ticking clock deadline red herrings,"{""plot_events_data"":{""relevant_subquery_text"":""intergalactic warfare, war across galaxies, space war, galactic conflict, morally gray protagonist, morally ambiguous lead, antihero, ticking clock, race against time, deadline, urgent mission, time limit, red herrings, false leads, misdirection, deception""},""plot_analysis_data"":{""relevant_subquery_text"":""science fiction war epic, intergalactic warfare, morally gray protagonist, moral ambiguity, ethical compromise, time pressure, race against time, deception, misdirection, hidden truth, military science fiction, galactic conflict, ends justify means, complex morality""},""viewer_experience_data"":{""relevant_subquery_text"":""science fiction, sci-fi, intergalactic warfare, space war, epic scale, grand scope, sweeping, morally gray protagonist, morally ambiguous lead, complex morality, not black and white, ticking clock, race against time, relentless pressure, urgent, high stakes, suspenseful, red herrings, misdirection, keeps you guessing, unpredictable, clever twists, not straightforward, thought provoking, edge of your seat, tense, nail biter, adrenaline, high tension, military sci-fi, large scale conflict, immersive worldbuilding, spectacular, visually intense, grandiose, operatic feel, not simple good vs evil, complicated hero, flawed protagonist""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":""science fiction war epic, intergalactic warfare, morally gray lead, ticking clock deadline, red herrings""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""morally gray protagonist, morally ambiguous lead, complex hero, not clear-cut good vs evil, shades of grey, ticking clock, race against time, high stakes, urgency, suspenseful, keeps you guessing, misdirection, clever twists, unpredictable, thought-provoking, ambitious, sweeping, grand scale, spectacular, immersive worldbuilding, praised for complexity, divisive, bold vision""}}"
