query,results
date night movie to unwind after a long day funny but not gross no jump scares,"{""plot_events_data"":{""justification"":""This query describes viewing context ('date night', 'unwind after a long day'), desired emotional experience ('funny'), and negative preferences ('not gross', 'no jump scares') — all about how the user wants to feel and watch, with zero concrete plot events, character situations, or story mechanics."",""relevant_subquery_text"":null},""plot_analysis_data"":{""justification"":""Entirely about viewing context (date night, unwind) and experiential preferences (funny but not gross, no jump scares) with no thematic content about what the story means or explores."",""relevant_subquery_text"":null},""viewer_experience_data"":{""justification"":""User describes desired experiential qualities: relaxing/unwinding (low tension), humor without gross-out comedy, and no jump scares. 'Date night' is watch context (excluded) but implies pleasant, accessible vibes. Multiple clear negations to preserve."",""relevant_subquery_text"":""unwind, relaxing, chill, low stakes, easy watching, funny, lighthearted, humorous, not gross, no gross out humor, not crude, not disgusting, no jump scares, not scary, not startling, cozy, pleasant, feel good, comforting, not intense, not stressful, warm, amusing, not disturbing""},""watch_context_data"":{""justification"":""Clear scenario (date night) with motivation (unwind after long day), feature preferences (funny, not gross, no jump scares) — ALL elements captured."",""relevant_subquery_text"":""date night movie, romantic partner bonding, unwind after a long day, feel-good watch, turn my brain off, funny, comedy, not gross, no body horror, no jump scares, not scary, low stress, easy watch, cozy night in""},""narrative_techniques_data"":{""justification"":""User describes desired viewing context (date night, unwinding), tone preference (funny), and content restrictions (not gross, no jump scares). These are all about situational use, emotional experience, and content avoidance — no narrative craft techniques are specified."",""relevant_subquery_text"":null},""production_data"":{""justification"":""The query describes desired viewing experience (date night, unwind), tone (funny), and content to avoid (gross, jump scares). These are all about the emotional experience, genre preferences, and content elements — not production facts like how the movie was made, where it was filmed, who directed it, or its budget/technical approach. No production metadata present."",""relevant_subquery_text"":null},""reception_data"":{""justification"":""The query contains clear reception language: 'date night movie' is a recommendation category, 'funny' and 'not gross' are vibe evaluations, and 'no jump scares' is an evaluative negation of horror technique — all core to how audiences discuss and recommend comedies."",""relevant_subquery_text"":""date night movie, feel-good comedy, light and funny, easy watch, relaxing, low stakes, charming, witty, clever humor, not gross-out humor, not crude, not vulgar, no jump scares, not scary, comforting, cozy, rewatchable, pleasant, breezy, good vibes, stress-free, escapist, soothing""}}"
two strangers handcuffed together escape the city in one night set in tokyo time loop twist ending,"{""plot_events_data"":{""justification"":""Multiple concrete plot elements: strangers forced together (handcuffed), escape/chase through city, specific setting (Tokyo), compressed timeframe (one night), time loop mechanic, and twist ending structure. All describe literal events and mechanics found in plot summaries."",""relevant_subquery_text"":""two strangers handcuffed together, strangers forced to escape together, handcuffed escape, flee the city in one night, single night escape, tokyo setting, time loop, repeating day, trapped in time loop, twist ending""},""plot_analysis_data"":{""justification"":""The query describes a specific plot setup (handcuffed strangers, one night escape, Tokyo setting, time loop twist) which needs translation into thematic territory: forced proximity creating connection, compressed timeframes for intimacy, urban escape as transformation, cyclical time and fate, revelation of hidden patterns, and the nature of reality being questioned."",""relevant_subquery_text"":""forced proximity, strangers become connected, compressed time intimacy, one night transformation, urban escape, breaking free, cyclical time, fate repeating, hidden truth revealed, reality questioned, time loop, destiny and choice, city as prison and liberation, unlikely partnership, revelation changes everything""},""viewer_experience_data"":{""justification"":""This describes a specific plot (strangers handcuffed, escape, Tokyo, one night, time loop twist) which implies experiential qualities: frantic pacing, romantic tension from forced proximity, urban energy, the disorientation of time loops, and the mind-bending satisfaction of twist reveals. I need to extract how this setup FEELS to watch rather than the plot facts themselves."",""relevant_subquery_text"":""frantic pace, high energy, breathless, against the clock, romantic tension, forced proximity chemistry, sparks flying, unlikely connection, night in the city, neon atmosphere, urban energy, disorienting, reality bending, mind bending, twist ending, rug pull, satisfying reveal, makes you rethink, clever, rewatchable, bittersweet romance, fleeting connection, one perfect night, wistful, nostalgic feel, not straightforward, keeps you guessing""},""watch_context_data"":{""justification"":""Pure plot description with no motivational framing, scenario, or feature request — just narrative events and setting details."",""relevant_subquery_text"":null},""narrative_techniques_data"":{""justification"":""Query contains several clear narrative techniques: 'two strangers handcuffed together' describes a forced proximity device and meet-cute variation; 'escape the city in one night' indicates a ticking clock deadline and compressed timeline structure; 'time loop' is explicit temporal structure; 'twist ending' is information control technique. 'Set in Tokyo' is production/setting, excluded."",""relevant_subquery_text"":""forced proximity device, strangers handcuffed together, ticking clock deadline, compressed timeline, single night structure, time loop, nonlinear timeline, twist ending, plot twist reversal, escape narrative, city chase structure, meet-cute variation""},""production_data"":{""justification"":""This query describes plot events (strangers handcuffed, escape, one night, time loop, twist ending) and story setting (Tokyo), but contains no production metadata like decade, country of origin, filming location, language, studio, director, actors, medium, source material, or budget."",""relevant_subquery_text"":null},""reception_data"":{""justification"":""This query is purely plot mechanics and setting description with no evaluative language — no indication of quality, reception, vibes, or how people discuss this movie. 'Time loop twist ending' describes a technique without evaluation ('brilliant twist' or 'mind-bending' would qualify)."",""relevant_subquery_text"":null}}"
manly action movies from the 80s,"{""plot_events_data"":{""justification"":""80s is production era, 'manly' is vague gendered descriptor, and 'action' is a genre label without specific plot content — no concrete events, settings, or character situations are described."",""relevant_subquery_text"":null},""plot_analysis_data"":{""justification"":""The query contains 'manly action' which maps to thematic territory about masculinity, physical prowess, and heroism, but '80s' is pure production metadata that won't retrieve well. Extracting the thematic core about masculine action archetypes while excluding the decade constraint."",""relevant_subquery_text"":""masculine heroism, physical prowess, lone warrior, action hero, stoic protagonist, masculine code, honor and violence, rugged individualism, action adventure, hero's journey, triumph through strength""},""viewer_experience_data"":{""justification"":""User wants 80s action movies — '80s' implies nostalgic/retro feel, 'action' implies high adrenaline/tense/exciting, and 'manly' suggests earnest, straightforward, maybe cheesy-in-a-good-way masculine energy without self-awareness or irony."",""relevant_subquery_text"":""high adrenaline, adrenaline rush, testosterone fueled, macho, earnest, straightforward, not self-aware, not ironic, cheesy in a good way, over the top, explosive, relentless action, physical, muscular, nostalgic, retro feel, 80s feel, not subtle, not nuanced, pure action, satisfying, black and white morality, heroic, triumphant, not complicated, not confusing, easy to follow, predictable in a comforting way, loud, intense, not slow, not boring""},""watch_context_data"":{""justification"":""Contains motivational framing ('manly' signals specific emotional appeal and identity-based viewing motivation), era-based nostalgia/vibe ('80s'), and genre preference ('action movies') — all relevant to why/when someone would watch."",""relevant_subquery_text"":""manly movie, masculine energy, tough guy movie, 80s action, 80s nostalgia, retro action, classic action, testosterone fuel, feel like a badass, escapist action, turn my brain off, pure entertainment, not serious, fun action, date night guy movie, watch with the guys, popcorn movie""},""narrative_techniques_data"":{""justification"":""Query contains only production era ('80s'), genre ('action'), and vague aesthetic descriptor ('manly') — none of these are narrative craft techniques about HOW stories are told."",""relevant_subquery_text"":null},""production_data"":{""justification"":""80s is explicitly stated as production decade. Manly action is genre/vibe description, not production metadata — but 80s alone is sufficient production fact to retrieve."",""relevant_subquery_text"":""1980s, 80s""},""reception_data"":{""justification"":""While '80s' is production context, 'manly' is explicitly evaluative reception language — it's how audiences describe and categorize masculine-coded action movies (tough, gritty, macho, testosterone-fueled). Combined, this captures the specific vibe discussion around films like Commando, Predator, Die Hard that reviewers and fans describe in exactly these terms."",""relevant_subquery_text"":""manly, masculine, macho, testosterone-fueled, tough, gritty, muscular, no-nonsense, alpha male, heroic, action-packed, explosive, practical stunts, one-liners, Reagan-era action, iconic 80s action, crowd-pleasing, entertaining, pure adrenaline, escapist fun, rewatchable, cult classic, underrated gem""}}"
movies like parasite but american and funnier not dumb,"{""plot_events_data"":{""justification"":""The user references 'Parasite' with high-confidence plot elements: class disparity between families, infiltration of wealthy household by poor family, hidden basement/secret resident, con scheme disguised as employment. 'American' and 'funnier' modify tone/setting but don't contradict core plot mechanics. 'Not dumb' is evaluation, excluded."",""relevant_subquery_text"":""poor family infiltrates wealthy household, family con scheme, working class family deceives rich employers, hidden secret in house, class disparity, impostors pose as employees, household deception""},""plot_analysis_data"":{""justification"":""The user references 'Parasite' (class warfare, economic inequality, social climbing, dark satire of capitalism) and wants similar thematic territory but with American context and comedic tone — extracting 'class satire', 'wealth inequality', 'social commentary comedy' while excluding 'dumb' implies smart/satirical humor rather than slapstick."",""relevant_subquery_text"":""class satire, economic inequality, social climbing, dark comedy, wealth disparity, capitalism critique, upstairs downstairs, haves and have-nots, smart satire, biting social commentary, American class system, aspirational deception, status obsession""},""viewer_experience_data"":{""justification"":""User wants Parasite's class tension and social commentary feel but with American sensibility and more humor — 'funnier not dumb' preserves the sharpness while wanting tonal shift toward comedy. Extracting the experiential blend of satirical bite, social commentary, clever humor, and the negation against stupidity."",""relevant_subquery_text"":""social satire, class commentary, darkly funny, sharp wit, biting humor, clever comedy, not dumb humor, not stupid, intelligent comedy, subversive, unpredictable, genre bending, tense but funny, satirical thriller, smart, incisive, not slapstick, not broad comedy, sophisticated humor, undercurrent of dread, uneasy laughter, morally complex, not preachy, stylish, precise""},""watch_context_data"":{""justification"":""Clear motivation (Parasite appeal but seeking different tone), feature requests (smarter comedy, not dumb), and content preferences (American setting, funnier tone). Parasite signals desire for sharp social commentary with genre blend appeal."",""relevant_subquery_text"":""social satire, sharp comedy, dark comedy, class commentary, genre blend, not dumb comedy, clever humor, smart comedy, American setting, satirical thriller, conversation starter, film buff pick, unexpected twists, subversive, critically acclaimed feel""},""narrative_techniques_data"":{""justification"":""User references Parasite's narrative techniques but wants tonal adjustment. 'Parasite' is known for genre-blending, class commentary through structure, and tonal shifts. However, 'American' is production, 'funnier' is vague tonal preference, 'not dumb' is evaluation. No specific narrative craft techniques are requested."",""relevant_subquery_text"":null},""production_data"":{""justification"":""Extracting production facts: 'American' indicates US country of origin production. 'Parasite' is a reference to a specific film's production context (Korean, Bong Joon-ho, 2019). 'Funnier' and 'not dumb' are quality/comedy judgments about content, not production metadata."",""relevant_subquery_text"":""American, produced in united states, not Korean, not South Korea, Bong Joon-ho, 2010s""},""reception_data"":{""justification"":""The user wants something 'like Parasite' which implies specific reception qualities — social satire, class commentary, tonal mastery, 'keeps you guessing', genre-blending. 'Funnier not dumb' is explicit evaluative framing: smart humor, sharp wit, clever comedy, not broad or stupid. 'American' suggests cultural translation of these reception qualities."",""relevant_subquery_text"":""sharp social satire, biting class commentary, darkly funny, clever, smart humor, witty, incisive, razor-sharp, not heavy-handed, genre-blending, unpredictable, keeps you guessing, tonally bold, critically acclaimed, thought-provoking, satirical but grounded, intelligent comedy, not dumb, not broad humor, sophisticated, sly, subversive""}}"
hand drawn animation not cgi spanish audio coming of age dramedy uplifting and hopeful iconic songs great dialogue,"{""plot_events_data"":{""justification"":""Hand drawn animation, CGI, Spanish audio, dramedy, uplifting/hopeful, iconic songs, and great dialogue are all production details, genre labels, emotional experience, or quality evaluations — none describe actual plot events, character situations, or story settings."",""relevant_subquery_text"":null},""plot_analysis_data"":{""justification"":""The query contains significant thematic content ('coming of age', 'uplifting and hopeful', 'dramedy') alongside non-thematic production details ('hand drawn animation', 'spanish audio', 'iconic songs', 'great dialogue'). Extracting only the thematic and genre elements that would retrieve well from this vector space."",""relevant_subquery_text"":""coming of age, dramedy, uplifting, hopeful, self-discovery, growth and transformation, bittersweet youth, finding one's place, optimism, emotional journey, comedy drama blend, youthful idealism, personal evolution""},""viewer_experience_data"":{""justification"":""User wants hand drawn animation (warm, nostalgic, tactile, artisanal feel), coming of age dramedy (bittersweet, heartwarming, emotional growth, funny but touching), uplifting/hopeful (optimistic, inspiring, feel good, not depressing), iconic songs (musical joy, sing-along energy, emotional musical moments), great dialogue (witty, quotable, authentic voices). Spanish audio excluded as production fact. CGI negation implies tactile, organic, traditional craft feel."",""relevant_subquery_text"":""warm, nostalgic, tactile, artisanal feel, hand drawn feel, organic animation, not sterile, not cgi look, bittersweet, heartwarming, emotional growth, funny but touching, coming of age feel, optimistic, inspiring, feel good, uplifting, hopeful, not depressing, not dark, musical joy, sing-along energy, emotional musical moments, songs that stay with you, witty, quotable, authentic voices, charming, cozy, sweet, earnest, relatable, emotional rollercoaster, satisfying, moving, tender""},""watch_context_data"":{""justification"":""Multiple clear feature draws (hand drawn animation, Spanish audio, iconic songs, great dialogue), motivation (uplifting and hopeful), and genre scenario (coming of age dramedy). All elements captured with motivational framing."",""relevant_subquery_text"":""hand drawn animation, not CGI, traditional animation, Spanish language, coming of age, dramedy, uplifting, hopeful, feel good, mood booster, iconic songs, great soundtrack, memorable music, great dialogue, sharp writing, witty dialogue, emotional but hopeful, inspiring watch""},""narrative_techniques_data"":{""justification"":""This query contains only production facts (hand drawn animation, Spanish audio), genre (coming of age dramedy), emotional tone (uplifting, hopeful), and quality judgments (iconic songs, great dialogue). 'Coming of age' describes thematic content rather than narrative arc structure in this context. No specific narrative craft techniques are described."",""relevant_subquery_text"":null},""production_data"":{""justification"":""Extracted production facts: 'hand drawn animation' (medium), 'not CGI' (negation of medium), 'Spanish audio' (language). Excluded 'coming of age dramedy' (genre), 'uplifting and hopeful' (tone), 'iconic songs' (reception/quality), 'great dialogue' (quality judgment) — none are production metadata."",""relevant_subquery_text"":""hand drawn animation, hand-drawn animation, not CGI, Spanish audio""},""reception_data"":{""justification"":""This query contains extensive evaluative language: 'uplifting and hopeful' are vibes evaluations, 'iconic songs' and 'great dialogue' are explicit quality judgments, 'hand drawn not cgi' is an evaluative preference that appears in reception discussions, and 'coming of age dramedy' implies tonal expectations people discuss. The Spanish audio preference is neutral but the rest is rich reception territory."",""relevant_subquery_text"":""hand-drawn animation praised, beautiful traditional animation, not cgi, uplifting, hopeful, feel-good, heartwarming, emotionally resonant, coming of age, dramedy, iconic soundtrack, memorable songs, great dialogue, sharp writing, witty, quotable, praised for animation style, visually stunning hand-drawn, warm tone, bittersweet but optimistic""}}"
1990s french psych thriller not slow not frantic nonlinear timeline unreliable narrator no gore but creepy critics said beautiful cinematography plot holes,"{""plot_events_data"":{""justification"":""The query contains only production details (1990s, French), genre labels (psych thriller), pacing preferences (not slow, not frantic), technique descriptions (nonlinear timeline, unreliable narrator), content exclusions (no gore), reception notes (creepy, beautiful cinematography, plot holes), and no actual plot events, character situations, or story content."",""relevant_subquery_text"":null},""plot_analysis_data"":{""justification"":""After filtering out production metadata (1990s, French, cinematography), pacing descriptors (not slow, not frantic), technique labels (nonlinear timeline), content exclusions (no gore), and reception (critics said, plot holes), the remaining thematic content is 'psych thriller' with 'unreliable narrator' and 'creepy' — which I translate to themes of deception, hidden truth, and psychological unease rather than the technique itself."",""relevant_subquery_text"":""psychological thriller, deception, unreliable truth, things aren't what they seem, hidden truth, manipulation, subjective perspective, creeping dread, psychological unease, paranoia, identity uncertainty, mind games""},""viewer_experience_data"":{""justification"":""User wants 90s French psychological thriller with specific experiential qualities: not slow (rejected pacing), not frantic (rejected pacing), nonlinear timeline (cognitive complexity), unreliable narrator (mental disorientation feel), no gore but creepy (disturbance profile with negation), beautiful cinematography (visual sensory feel), plot holes (noted but not experiential — excluded)."",""relevant_subquery_text"":""90s feel, nostalgic, retro aesthetic, psychological thriller, mental disorientation, unreliable narrator feel, paranoid, questioning reality, not slow, not sluggish, not meandering, not frantic, not frenetic, not overstimulating, nonlinear, confusing, disorienting, mind bending, not straightforward, no gore, not gory, not bloody, creepy, unsettling, disturbing, atmospheric dread, psychological dread, visually beautiful, stunning cinematography, aesthetic pleasure, sensory visual, lush visuals, tense, suspenseful, edge of your seat, cerebral, thought provoking, dark, moody, paranoid atmosphere""},""watch_context_data"":{""justification"":""User has multiple motivational and feature elements: 'psych thriller' indicates seeking tension/unease, 'not slow not frantic' is content preference for pacing, 'creepy' is mood motivation, 'critics said beautiful cinematography' signals external validation appeal, 'plot holes' suggests ironic/camp viewing potential. '1990s french' and 'nonlinear timeline' alone wouldn't qualify, but combined with the rich motivational framing around pacing, creepiness, critical prestige, and ironic appreciation, this becomes retrievable. 'No gore' is explicit content preference. 'Unreliable narrator' is technique but tied to psychological intrigue motivation."",""relevant_subquery_text"":""psychological thriller, tense and uneasy, creepy atmosphere, unsettling, not slow paced, not boring, not frantic, not chaotic, controlled pacing, beautiful cinematography, visually stunning, critics praised, film buff pick, conversation starter, so bad it's good, plot holes, ironic watch, camp appeal, no gore, not violent, psychological unease, unreliable narrator, mind-bending""},""narrative_techniques_data"":{""justification"":""Extracting narrative craft terms: 'nonlinear timeline' and 'unreliable narrator' are explicit canonical techniques. 'Not slow not frantic' describes pacing feel, not technique. 'No gore' and 'creepy' are content/atmosphere. 'Beautiful cinematography' and 'plot holes' are evaluation. '1990s French' is production context. Only two valid technique terms present."",""relevant_subquery_text"":""nonlinear timeline, unreliable narrator""},""production_data"":{""justification"":""1990s and French are production facts. Psych thriller, not slow/frantic, nonlinear timeline, unreliable narrator, creepy, beautiful cinematography, and plot holes are all content/technique/reception — not production metadata."",""relevant_subquery_text"":""1990s, 90s, French, France""},""reception_data"":{""justification"":""The query contains multiple evaluative reception elements: 'not slow not frantic' describes pacing quality, 'unreliable narrator' as praised technique, 'no gore but creepy' captures tonal evaluation, 'beautiful cinematography' is explicit critical praise, and 'plot holes' is a specific complaint attribute. These are all how critics and audiences discuss and evaluate psychological thrillers."",""relevant_subquery_text"":""beautiful cinematography, visually stunning, gorgeous, critics praised the look, unreliable narrator, keeps you guessing, mind-bending, disorienting in a good way, perfectly paced, not too slow, not frantic, controlled tension, creepy without gore, unsettling atmosphere, psychological dread, tense but restrained, plot holes, doesn't quite hold together, falls apart under scrutiny, divisive ending""}}"
low budget indie filmed in new york directed by nolan?? (or similar vibe) mixed reviews overrated but still smart,"{""plot_events_data"":{""justification"":""Query contains only production details (low budget indie, New York filming, Nolan director comparison, mixed reviews, overrated status) and evaluation ('smart'). No plot events, character situations, settings, or story mechanics are described."",""relevant_subquery_text"":null},""plot_analysis_data"":{""justification"":""This query is almost entirely about production metadata (budget, location, director identity, reception) with only 'smart' hinting at thematic territory. 'Nolan' as director reference without thematic translation, 'mixed reviews/overrated' are reception data not in the vector space, and 'indie' as budget category isn't thematically meaningful. No extractable genre labels, themes, character arcs, or conceptual conflicts."",""relevant_subquery_text"":null},""viewer_experience_data"":{""justification"":""Production facts ('low budget indie', 'filmed in new york', 'mixed reviews', 'overrated') are excluded, but 'directed by Nolan' and 'still smart' imply experiential qualities: Nolan's films feel mind-bending, puzzle-box, intellectually demanding, time-bending, and layered. 'Smart' confirms cognitive complexity and thought-provoking elements are desired despite the mixed reception."",""relevant_subquery_text"":""mind bending, puzzle box, intellectually demanding, layered, complex narrative, time bending, thought provoking, clever structure, non-linear, intricate, cerebral, ambitious, not straightforward, challenging, keeps you thinking, rewatchable, reveals more on rewatch, satisfying complexity, not dumb, not simple""},""watch_context_data"":{""justification"":""The query contains several retrievable elements: 'low budget indie' signals film buff appeal and discovery motivation; 'mixed reviews overrated' indicates external discussion value and contrarian interest; 'still smart' is a feature draw for intellectual satisfaction. The 'Nolan' reference and 'similar vibe' suggest seeking distinctive directorial style as a feature. However, 'filmed in New York' is pure production fact without motivational framing and is excluded."",""relevant_subquery_text"":""low budget indie, indie discovery, film buff pick, mixed reviews, controversial, divisive, overrated but worth it, conversation starter, smart movie, clever, intellectually engaging, distinctive directorial style, unique vision, cult following potential, underappreciated gem""},""narrative_techniques_data"":{""justification"":""Query contains only production facts ('low budget indie', 'filmed in new york', 'directed by nolan'), reception/evaluation ('mixed reviews', 'overrated', 'smart'), and vibe-seeking. No narrative craft techniques described."",""relevant_subquery_text"":null},""production_data"":{""justification"":""Extracted production facts: 'low budget', 'indie', 'filmed in new york', 'directed by nolan'. 'Mixed reviews' and 'overrated' are post-release reception excluded. 'Smart' and 'vibe' are subjective evaluations excluded."",""relevant_subquery_text"":""low budget, indie, filmed in new york, directed by nolan, christopher nolan""},""reception_data"":{""justification"":""The query contains explicit reception language ('mixed reviews', 'overrated', 'smart') and a comparison to Nolan's style, which implies specific evaluative qualities people discuss—puzzle-box plotting, technical ambition, cerebral filmmaking, and the divisive reception his films often receive."",""relevant_subquery_text"":""mixed reviews, divisive, polarizing, overrated, overhyped, pretentious to some, still smart, clever, cerebral, puzzle-box, mind-bending, ambitious, technically impressive, indie spirit, scrappy, resourceful, low budget ingenuity, visionary, style over substance to critics, cult following, worth the hype, challenging, rewards attention, intricate, layered""}}"
"a goofy movie but i mean goofy like silly not the title, 90s vibe, witty dialogue, not slow","{""plot_events_data"":{""justification"":""The query contains no actual plot content — 'goofy like silly' is a tone/vibe description, '90s vibe' is production era, 'witty dialogue' is style of writing, and 'not slow' is pacing preference. None describe events, characters, settings, or plot mechanics that would appear in narrative plot summaries."",""relevant_subquery_text"":null},""plot_analysis_data"":{""justification"":""Production details ('90s vibe', 'not slow') and technique labels ('witty dialogue') without thematic implications don't retrieve well in this thematic vector space. 'Goofy like silly' describes tone/experience rather than meaning, and 'witty dialogue' is a technique, not what the dialogue explores thematically. No extractable genre signatures, themes, character arcs, or lessons."",""relevant_subquery_text"":null},""viewer_experience_data"":{""justification"":""User wants a silly/goofy comedy with 90s aesthetic feel, clever banter, and energetic pacing. 'Goofy like silly' clarifies they want campy, lighthearted humor, not the Disney film. 'Not slow' is a direct negation matching embedded content for pacing."",""relevant_subquery_text"":""goofy, silly, campy, lighthearted, zany, wacky, playful, fun, 90s feel, 90s vibe, nostalgic, retro feel, witty, clever banter, snappy dialogue, sharp, fast paced, not slow, energetic, quick, not sluggish, not meandering, brisk pace, self-aware humor, cheesy in a good way""},""watch_context_data"":{""justification"":""Clear feature requests (silly/goofy humor, witty dialogue) with scenario preferences (90s vibe, not slow pacing). User explicitly distinguishing from the Disney film 'A Goofy Movie' while seeking actual goofy/silly tone."",""relevant_subquery_text"":""silly humor, goofy comedy, lighthearted fun, witty dialogue, sharp writing, 90s vibe, 90s style, nostalgic feel, fast paced, not slow, energetic, snappy pacing, feel-good comedy, fun watch, turn my brain off, easy watch""},""narrative_techniques_data"":{""justification"":""The query describes tone ('goofy', 'silly'), production era ('90s vibe'), dialogue quality ('witty'), and pacing preference ('not slow') — all evaluations and vibes rather than narrative craft techniques. No POV, structure, archetype, information control, character craft, arcs, audience perception, stakes, meta techniques, or plot devices are mentioned."",""relevant_subquery_text"":null},""production_data"":{""justification"":""User clarifies they want a silly/goofy movie, not 'A Goofy Movie' the title. '90s vibe' is aesthetic feel, not actual 1990s production date. 'Witty dialogue' and 'not slow' describe content/pacing, not production metadata. No extractable production facts."",""relevant_subquery_text"":null},""reception_data"":{""justification"":""The user is describing reception qualities throughout: 'goofy like silly' specifies a comedic vibe, '90s vibe' is aesthetic reception language, 'witty dialogue' is a praised attribute, and 'not slow' is an evaluative negation of pacing. These are all how people discuss and evaluate comedies in reviews."",""relevant_subquery_text"":""goofy, silly, zany, wacky, absurd, 90s comedy, 90s vibes, retro feel, throwback, witty dialogue, clever banter, sharp writing, quotable, fast-paced, snappy, energetic, not slow, keeps moving, brisk pace, never drags""}}"
"YA fantasy with a chosen one prophecy, not too dark, PG-13","{""plot_events_data"":{""justification"":""User query contains concrete plot elements: 'chosen one prophecy' is a specific narrative mechanic (young person destined by prophecy to fulfill important role). 'YA fantasy' implies young protagonist in fantastical setting. 'Not too dark' and 'PG-13' are tone/rating exclusions, not plot content, so dropped."",""relevant_subquery_text"":""chosen one prophecy, young protagonist destined to save world, prophecy foretells hero, teenager fulfills ancient prophecy, reluctant hero chosen by prophecy""},""plot_analysis_data"":{""justification"":""Extracted genre label 'YA fantasy' and thematic element 'chosen one prophecy' which implies destiny, fate, special identity, and coming-of-age through burden. 'Not too dark' and 'PG-13' are content ratings/experience descriptors, not themes, so excluded."",""relevant_subquery_text"":""YA fantasy, young adult fantasy, chosen one, destiny and fate, prophecy fulfillment, special identity, coming of age, burden of destiny, hero's journey, magical destiny""},""viewer_experience_data"":{""justification"":""YA fantasy with chosen one prophecy implies adventure, wonder, coming-of-age feel, and heroic journey vibes. 'Not too dark' and 'PG-13' are direct experiential constraints — user wants accessible, not disturbing, moderate intensity without heavy dread or grimness."",""relevant_subquery_text"":""adventure, wonder, coming of age, heroic journey, magical, immersive world, not too dark, not disturbing, not grim, not bleak, accessible, moderate intensity, not heavy, hopeful, uplifting, earnest, not cynical, not depressing, escapist, sweeping, epic feel, not gory, no nightmare fuel, not psychologically intense""},""watch_context_data"":{""justification"":""This query describes plot elements (YA fantasy, chosen one prophecy) and content ratings (PG-13, not too dark) without expressing WHY someone wants to watch — no motivations, scenarios, or feature draws are stated. The user isn't saying 'feel-good fantasy' or 'family movie night' or 'nostalgic comfort' — just describing content categories."",""relevant_subquery_text"":null},""narrative_techniques_data"":{""justification"":""This query contains only genre markers (YA fantasy), plot content (chosen one prophecy), and content ratings (not too dark, PG-13). These describe what the movie is about and its target audience, not how the story is told through narrative craft techniques."",""relevant_subquery_text"":null},""production_data"":{""justification"":""YA fantasy, chosen one prophecy, and 'not too dark' are content/genre descriptors, not production facts. PG-13 is a rating system which is post-production distribution classification, not production metadata like budget, studio, filming location, or creative team."",""relevant_subquery_text"":null},""reception_data"":{""justification"":""This query contains mostly neutral genre descriptors ('YA fantasy', 'chosen one prophecy', 'PG-13') without evaluative reception language — there's no indication of how people discuss, praise, or criticize such films (e.g., 'fun adventure', 'predictable but charming', 'solid worldbuilding', 'tropes done well'). The 'not too dark' is a content descriptor, not a reception evaluation."",""relevant_subquery_text"":null}}"
love-to-hate villain redemption arc but also unreliable narrator fourth wall breaks,"{""plot_events_data"":{""justification"":""'Love-to-hate villain redemption arc' describes audience perception and emotional arc, not concrete plot events. 'Unreliable narrator' and 'fourth wall breaks' are narrative techniques describing how the story is told, not what happens in it. None of these map to the factual narrative prose in plot summaries."",""relevant_subquery_text"":null},""plot_analysis_data"":{""justification"":""Mixed query with valid thematic content and invalid technique labels. The 'love-to-hate villain redemption arc' provides strong thematic territory about morally gray characters, transformation, and earned sympathy. 'Unreliable narrator' and 'fourth wall breaks' are technique labels, but 'unreliable narrator' implies deception/subjective truth themes worth including; 'fourth wall breaks' has no clear thematic mapping so it's excluded."",""relevant_subquery_text"":""villain redemption, morally gray antagonist, love-to-hate character, earned sympathy, transformation of evil, complex villain, subjective truth, deception, unreliable perspective, things aren't what they seem, hidden motives, manipulation, audience complicity""},""viewer_experience_data"":{""justification"":""User wants two experiential blends: the emotional journey of a compelling villain's redemption (love-to-hate, cathartic arc, morally complex) combined with the disorienting, self-aware pleasure of unreliable narration and fourth-wall breaks (mind-bending, keeps you guessing, playful manipulation, you're in on it). Both describe how watching FEELS."",""relevant_subquery_text"":""love to hate villain, charismatic antagonist, morally gray, redemption arc, satisfying transformation, cathartic growth, unreliable narrator, untrustworthy storyteller, fourth wall breaks, meta, self-aware, keeps you guessing, mind bending, playful manipulation, you're in on it, clever structure, twisty narrative, not straightforward, intellectually engaging, winking at audience, layered storytelling""},""watch_context_data"":{""justification"":""The query contains two feature requests: 'love-to-hate villain redemption arc' is a character-driven feature draw, and 'unreliable narrator fourth wall breaks' describes narrative technique without motivational framing. However, the combination signals a specific 'film buff pick' appeal — seeking something clever, twisty, and conversation-worthy with distinctive style."",""relevant_subquery_text"":""love to hate villain, villain redemption, complex antagonist, unreliable narrator, fourth wall breaks, self-aware, clever structure, film buff pick, conversation starter, twisty narrative, stylistically distinctive""},""narrative_techniques_data"":{""justification"":""User query contains explicit canonical narrative craft terms: 'love-to-hate villain' (audience-character perception), 'redemption arc' (character arc type), 'unreliable narrator' (POV/perspective), and 'fourth wall breaks' (meta technique). All are directly retrievable in this vector space with no translation needed."",""relevant_subquery_text"":""love-to-hate villain, redemption arc, unreliable narrator, fourth wall breaks""},""production_data"":{""justification"":""This query describes plot elements (villain redemption arc, unreliable narrator, fourth wall breaks) and narrative techniques, none of which are production facts like release date, country of origin, filming location, studio, director, cast, medium, budget, or source material."",""relevant_subquery_text"":null},""reception_data"":{""justification"":""The user is describing specific narrative techniques (redemption arc, unreliable narrator, fourth wall breaks) without evaluative language about how these are executed or received — no indication of quality, emotional impact, or how audiences discuss these elements."",""relevant_subquery_text"":null}}"
