query,results
underrated foreign films with strong female leads,"{""entity_candidates"":[]}"
funny scary movies from the 90s with great acting,"{""entity_candidates"":[]}"
best action movies with plot twists,"{""entity_candidates"":[]}"
romantic comedies from the 2000s,"{""entity_candidates"":[]}"
movies featuring Darth Vader,"{""entity_candidates"":[{""candidate_entity_phrase"":""Darth Vader"",""most_likely_category"":""character"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Darth Vader""}]}"
action movies not starring Nicolas Cage,"{""entity_candidates"":[{""candidate_entity_phrase"":""Nicolas Cage"",""most_likely_category"":""person"",""exclude_from_results"":true,""corrected_and_normalized_entity"":""Nicolas Cage""}]}"
movies with the word 'death' in the title,"{""entity_candidates"":[{""candidate_entity_phrase"":""death"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""death""}]}"
best LOTR movies,"{""entity_candidates"":[{""candidate_entity_phrase"":""LOTR"",""most_likely_category"":""franchise"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Lord of the Rings""}]}"
movies with Jack Sparrow,"{""entity_candidates"":[{""candidate_entity_phrase"":""Jack Sparrow"",""most_likely_category"":""character"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Jack Sparrow""}]}"
movies starring Tom Hanks,"{""entity_candidates"":[{""candidate_entity_phrase"":""Tom Hanks"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Tom Hanks""}]}"
movies like Star Wars,"{""entity_candidates"":[{""candidate_entity_phrase"":""Star Wars"",""most_likely_category"":""franchise"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Star Wars""}]}"
horror films from A24 or Blumhouse,"{""entity_candidates"":[{""candidate_entity_phrase"":""A24"",""most_likely_category"":""studio"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""A24""},{""candidate_entity_phrase"":""Blumhouse"",""most_likely_category"":""studio"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Blumhouse Productions""}]}"
movies like se7en or the number 23,"{""entity_candidates"":[{""candidate_entity_phrase"":""se7en"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Se7en""},{""candidate_entity_phrase"":""the number 23"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""The Number 23""}]}"
films with schwarzenegger and stallone,"{""entity_candidates"":[{""candidate_entity_phrase"":""schwarzenegger"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Arnold Schwarzenegger""},{""candidate_entity_phrase"":""stallone"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Sylvester Stallone""}]}"
rocky 4 and rambo 2,"{""entity_candidates"":[{""candidate_entity_phrase"":""rocky 4"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Rocky IV""},{""candidate_entity_phrase"":""rambo 2"",""most_likely_category"":""movie_title"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Rambo: First Blood Part II""}]}"
films with Leandro Dicaprio and Bred Pit,"{""entity_candidates"":[{""candidate_entity_phrase"":""Leandro Dicaprio"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Leonardo DiCaprio""},{""candidate_entity_phrase"":""Bred Pit"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Brad Pitt""}]}"
waner brothers movies with harry poter not directed by chris colombus,"{""entity_candidates"":[{""candidate_entity_phrase"":""waner brothers"",""most_likely_category"":""studio"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Warner Bros.""},{""candidate_entity_phrase"":""harry poter"",""most_likely_category"":""franchise"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Harry Potter""},{""candidate_entity_phrase"":""chris colombus"",""most_likely_category"":""person"",""exclude_from_results"":true,""corrected_and_normalized_entity"":""Chris Columbus""}]}"
Pixar movies directed by Brad Bird starring Samuel L Jackson,"{""entity_candidates"":[{""candidate_entity_phrase"":""Pixar"",""most_likely_category"":""studio"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Pixar""},{""candidate_entity_phrase"":""Brad Bird"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Brad Bird""},{""candidate_entity_phrase"":""Samuel L Jackson"",""most_likely_category"":""person"",""exclude_from_results"":false,""corrected_and_normalized_entity"":""Samuel L. Jackson""}]}"
