query,result
two strangers handcuffed together escape the city in one night set in tokyo time loop twist ending,"{""lexical_relevance"":""small"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
cozy sick day comfort watch background at a party not too loud not overstimulating ear bursting sound avoid that,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
hand drawn animation not cgi spanish audio coming of age dramedy uplifting and hopeful iconic songs great dialogue,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""large""}"
date night movie to unwind after a long day funny but not gross no jump scares,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
manly action movies from the 80s,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""medium""}"
science fiction war epic intergalactic warfare morally gray lead ticking clock deadline red herrings,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
low budget indie filmed in new york directed by nolan?? (or similar vibe) mixed reviews overrated but still smart,"{""lexical_relevance"":""medium"",""metadata_relevance"":""medium"",""vector_relevance"":""large""}"
movies like parasite but american and funnier not dumb,"{""lexical_relevance"":""small"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
1990s french psych thriller not slow not frantic nonlinear timeline unreliable narrator no gore but creepy critics said beautiful cinematography plot holes,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""medium"",""vector_relevance"":""large""}"
love-to-hate villain redemption arc but also unreliable narrator fourth wall breaks,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
"romcom about two rival bakers, light and flirty, 00s vibe","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""medium"",""vector_relevance"":""large""}"
"Oscar-winning cinematography, but the story is messy","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
"doc about free solo climbers, inspiring but not preachy","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
"a goofy movie but i mean goofy like silly not the title, 90s vibe, witty dialogue, not slow","{""lexical_relevance"":""small"",""metadata_relevance"":""medium"",""vector_relevance"":""large""}"
"set in Boston during a blizzard, but filmed in Toronto","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
"YA fantasy with a chosen one prophecy, not too dark, PG-13","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""large""}"
"real-time thriller in one apartment, ticking clock deadline, no flashbacks","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
"critics hated it but I love it anyway, fun guilty pleasure","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
"found footage horror, no jump scares, creepy dread","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
something on Netflix under 90 minutes,"{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""large"",""vector_relevance"":""not_relevant""}"
"multiple POVs, unreliable narrator, twist ending explained at the end","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
"movies with Jack Sparrow energy but not Pirates, witty swashbuckling","{""lexical_relevance"":""medium"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
Her but not the one with Joaquin Phoenix,"{""lexical_relevance"":""large"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""small""}"
"directed by Quinten Tarantino, snappy dialogue, violent but funny","{""lexical_relevance"":""large"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
"background while coding, dialogue not important, chill visuals, low volume","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
"ultra-gory body horror, disgusting, make me squirm","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
"Korean audio with English subtitles, critics called it a slow-burn masterpiece","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""medium"",""vector_relevance"":""large""}"
"adapted from a video game, big studio blockbuster, mixed reviews, amazing fight choreography","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""medium"",""vector_relevance"":""large""}"
"set in ancient Rome, political betrayal, ends on a bleak note","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""not_relevant"",""vector_relevance"":""large""}"
"family movie night with kids, not babyish, jokes for adults too","{""lexical_relevance"":""not_relevant"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
"A24 vibe, but I want it less depressing, more hopeful","{""lexical_relevance"":""small"",""metadata_relevance"":""small"",""vector_relevance"":""large""}"
