query,results
date night movie to unwind after a long day funny but not gross no jump scares,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""unwind, relaxing, chill, low stakes, easy watching, funny, lighthearted, humorous, not gross, no gross out humor, not crude, not disgusting, no jump scares, not scary, not startling, cozy, pleasant, feel good, comforting, not intense, not stressful, warm, amusing, not disturbing""},""watch_context_data"":{""relevant_subquery_text"":""date night movie, romantic partner bonding, unwind after a long day, feel-good watch, turn my brain off, funny, comedy, not gross, no body horror, no jump scares, not scary, low stress, easy watch, cozy night in""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""date night movie, feel-good comedy, light and funny, easy watch, relaxing, low stakes, charming, witty, clever humor, not gross-out humor, not crude, not vulgar, no jump scares, not scary, comforting, cozy, rewatchable, pleasant, breezy, good vibes, stress-free, escapist, soothing""}}"
two strangers handcuffed together escape the city in one night set in tokyo time loop twist ending,"{""plot_events_data"":{""relevant_subquery_text"":""two strangers handcuffed together, strangers forced to escape together, handcuffed escape, flee the city in one night, single night escape, tokyo setting, time loop, repeating day, trapped in time loop, twist ending""},""plot_analysis_data"":{""relevant_subquery_text"":""forced proximity, strangers become connected, compressed time intimacy, one night transformation, urban escape, breaking free, cyclical time, fate repeating, hidden truth revealed, reality questioned, time loop, destiny and choice, city as prison and liberation, unlikely partnership, revelation changes everything""},""viewer_experience_data"":{""relevant_subquery_text"":""frantic pace, high energy, breathless, against the clock, romantic tension, forced proximity chemistry, sparks flying, unlikely connection, night in the city, neon atmosphere, urban energy, disorienting, reality bending, mind bending, twist ending, rug pull, satisfying reveal, makes you rethink, clever, rewatchable, bittersweet romance, fleeting connection, one perfect night, wistful, nostalgic feel, not straightforward, keeps you guessing""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":""forced proximity device, strangers handcuffed together, ticking clock deadline, compressed timeline, single night structure, time loop, nonlinear timeline, twist ending, plot twist reversal, escape narrative, city chase structure, meet-cute variation""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
manly action movies from the 80s,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""masculine heroism, physical prowess, lone warrior, action hero, stoic protagonist, masculine code, honor and violence, rugged individualism, action adventure, hero's journey, triumph through strength""},""viewer_experience_data"":{""relevant_subquery_text"":""high adrenaline, adrenaline rush, testosterone fueled, macho, earnest, straightforward, not self-aware, not ironic, cheesy in a good way, over the top, explosive, relentless action, physical, muscular, nostalgic, retro feel, 80s feel, not subtle, not nuanced, pure action, satisfying, black and white morality, heroic, triumphant, not complicated, not confusing, easy to follow, predictable in a comforting way, loud, intense, not slow, not boring""},""watch_context_data"":{""relevant_subquery_text"":""manly movie, masculine energy, tough guy movie, 80s action, 80s nostalgia, retro action, classic action, testosterone fuel, feel like a badass, escapist action, turn my brain off, pure entertainment, not serious, fun action, date night guy movie, watch with the guys, popcorn movie""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""1980s, 80s""},""reception_data"":{""relevant_subquery_text"":""manly, masculine, macho, testosterone-fueled, tough, gritty, muscular, no-nonsense, alpha male, heroic, action-packed, explosive, practical stunts, one-liners, Reagan-era action, iconic 80s action, crowd-pleasing, entertaining, pure adrenaline, escapist fun, rewatchable, cult classic, underrated gem""}}"
movies like parasite but american and funnier not dumb,"{""plot_events_data"":{""relevant_subquery_text"":""poor family infiltrates wealthy household, family con scheme, working class family deceives rich employers, hidden secret in house, class disparity, impostors pose as employees, household deception""},""plot_analysis_data"":{""relevant_subquery_text"":""class satire, economic inequality, social climbing, dark comedy, wealth disparity, capitalism critique, upstairs downstairs, haves and have-nots, smart satire, biting social commentary, American class system, aspirational deception, status obsession""},""viewer_experience_data"":{""relevant_subquery_text"":""social satire, class commentary, darkly funny, sharp wit, biting humor, clever comedy, not dumb humor, not stupid, intelligent comedy, subversive, unpredictable, genre bending, tense but funny, satirical thriller, smart, incisive, not slapstick, not broad comedy, sophisticated humor, undercurrent of dread, uneasy laughter, morally complex, not preachy, stylish, precise""},""watch_context_data"":{""relevant_subquery_text"":""social satire, sharp comedy, dark comedy, class commentary, genre blend, not dumb comedy, clever humor, smart comedy, American setting, satirical thriller, conversation starter, film buff pick, unexpected twists, subversive, critically acclaimed feel""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""American, produced in united states, not Korean, not South Korea, Bong Joon-ho, 2010s""},""reception_data"":{""relevant_subquery_text"":""sharp social satire, biting class commentary, darkly funny, clever, smart humor, witty, incisive, razor-sharp, not heavy-handed, genre-blending, unpredictable, keeps you guessing, tonally bold, critically acclaimed, thought-provoking, satirical but grounded, intelligent comedy, not dumb, not broad humor, sophisticated, sly, subversive""}}"
hand drawn animation not cgi spanish audio coming of age dramedy uplifting and hopeful iconic songs great dialogue,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""coming of age, dramedy, uplifting, hopeful, self-discovery, growth and transformation, bittersweet youth, finding one's place, optimism, emotional journey, comedy drama blend, youthful idealism, personal evolution""},""viewer_experience_data"":{""relevant_subquery_text"":""warm, nostalgic, tactile, artisanal feel, hand drawn feel, organic animation, not sterile, not cgi look, bittersweet, heartwarming, emotional growth, funny but touching, coming of age feel, optimistic, inspiring, feel good, uplifting, hopeful, not depressing, not dark, musical joy, sing-along energy, emotional musical moments, songs that stay with you, witty, quotable, authentic voices, charming, cozy, sweet, earnest, relatable, emotional rollercoaster, satisfying, moving, tender""},""watch_context_data"":{""relevant_subquery_text"":""hand drawn animation, not CGI, traditional animation, Spanish language, coming of age, dramedy, uplifting, hopeful, feel good, mood booster, iconic songs, great soundtrack, memorable music, great dialogue, sharp writing, witty dialogue, emotional but hopeful, inspiring watch""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""hand drawn animation, hand-drawn animation, not CGI, Spanish audio""},""reception_data"":{""relevant_subquery_text"":""hand-drawn animation praised, beautiful traditional animation, not cgi, uplifting, hopeful, feel-good, heartwarming, emotionally resonant, coming of age, dramedy, iconic soundtrack, memorable songs, great dialogue, sharp writing, witty, quotable, praised for animation style, visually stunning hand-drawn, warm tone, bittersweet but optimistic""}}"
1990s french psych thriller not slow not frantic nonlinear timeline unreliable narrator no gore but creepy critics said beautiful cinematography plot holes,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""psychological thriller, deception, unreliable truth, things aren't what they seem, hidden truth, manipulation, subjective perspective, creeping dread, psychological unease, paranoia, identity uncertainty, mind games""},""viewer_experience_data"":{""relevant_subquery_text"":""90s feel, nostalgic, retro aesthetic, psychological thriller, mental disorientation, unreliable narrator feel, paranoid, questioning reality, not slow, not sluggish, not meandering, not frantic, not frenetic, not overstimulating, nonlinear, confusing, disorienting, mind bending, not straightforward, no gore, not gory, not bloody, creepy, unsettling, disturbing, atmospheric dread, psychological dread, visually beautiful, stunning cinematography, aesthetic pleasure, sensory visual, lush visuals, tense, suspenseful, edge of your seat, cerebral, thought provoking, dark, moody, paranoid atmosphere""},""watch_context_data"":{""relevant_subquery_text"":""psychological thriller, tense and uneasy, creepy atmosphere, unsettling, not slow paced, not boring, not frantic, not chaotic, controlled pacing, beautiful cinematography, visually stunning, critics praised, film buff pick, conversation starter, so bad it's good, plot holes, ironic watch, camp appeal, no gore, not violent, psychological unease, unreliable narrator, mind-bending""},""narrative_techniques_data"":{""relevant_subquery_text"":""nonlinear timeline, unreliable narrator""},""production_data"":{""relevant_subquery_text"":""1990s, 90s, French, France""},""reception_data"":{""relevant_subquery_text"":""beautiful cinematography, visually stunning, gorgeous, critics praised the look, unreliable narrator, keeps you guessing, mind-bending, disorienting in a good way, perfectly paced, not too slow, not frantic, controlled tension, creepy without gore, unsettling atmosphere, psychological dread, tense but restrained, plot holes, doesn't quite hold together, falls apart under scrutiny, divisive ending""}}"
low budget indie filmed in new york directed by nolan?? (or similar vibe) mixed reviews overrated but still smart,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""mind bending, puzzle box, intellectually demanding, layered, complex narrative, time bending, thought provoking, clever structure, non-linear, intricate, cerebral, ambitious, not straightforward, challenging, keeps you thinking, rewatchable, reveals more on rewatch, satisfying complexity, not dumb, not simple""},""watch_context_data"":{""relevant_subquery_text"":""low budget indie, indie discovery, film buff pick, mixed reviews, controversial, divisive, overrated but worth it, conversation starter, smart movie, clever, intellectually engaging, distinctive directorial style, unique vision, cult following potential, underappreciated gem""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""low budget, indie, filmed in new york, directed by nolan, christopher nolan""},""reception_data"":{""relevant_subquery_text"":""mixed reviews, divisive, polarizing, overrated, overhyped, pretentious to some, still smart, clever, cerebral, puzzle-box, mind-bending, ambitious, technically impressive, indie spirit, scrappy, resourceful, low budget ingenuity, visionary, style over substance to critics, cult following, worth the hype, challenging, rewards attention, intricate, layered""}}"
"a goofy movie but i mean goofy like silly not the title, 90s vibe, witty dialogue, not slow","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""goofy, silly, campy, lighthearted, zany, wacky, playful, fun, 90s feel, 90s vibe, nostalgic, retro feel, witty, clever banter, snappy dialogue, sharp, fast paced, not slow, energetic, quick, not sluggish, not meandering, brisk pace, self-aware humor, cheesy in a good way""},""watch_context_data"":{""relevant_subquery_text"":""silly humor, goofy comedy, lighthearted fun, witty dialogue, sharp writing, 90s vibe, 90s style, nostalgic feel, fast paced, not slow, energetic, snappy pacing, feel-good comedy, fun watch, turn my brain off, easy watch""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""goofy, silly, zany, wacky, absurd, 90s comedy, 90s vibes, retro feel, throwback, witty dialogue, clever banter, sharp writing, quotable, fast-paced, snappy, energetic, not slow, keeps moving, brisk pace, never drags""}}"
"YA fantasy with a chosen one prophecy, not too dark, PG-13","{""plot_events_data"":{""relevant_subquery_text"":""chosen one prophecy, young protagonist destined to save world, prophecy foretells hero, teenager fulfills ancient prophecy, reluctant hero chosen by prophecy""},""plot_analysis_data"":{""relevant_subquery_text"":""YA fantasy, young adult fantasy, chosen one, destiny and fate, prophecy fulfillment, special identity, coming of age, burden of destiny, hero's journey, magical destiny""},""viewer_experience_data"":{""relevant_subquery_text"":""adventure, wonder, coming of age, heroic journey, magical, immersive world, not too dark, not disturbing, not grim, not bleak, accessible, moderate intensity, not heavy, hopeful, uplifting, earnest, not cynical, not depressing, escapist, sweeping, epic feel, not gory, no nightmare fuel, not psychologically intense""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
love-to-hate villain redemption arc but also unreliable narrator fourth wall breaks,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""villain redemption, morally gray antagonist, love-to-hate character, earned sympathy, transformation of evil, complex villain, subjective truth, deception, unreliable perspective, things aren't what they seem, hidden motives, manipulation, audience complicity""},""viewer_experience_data"":{""relevant_subquery_text"":""love to hate villain, charismatic antagonist, morally gray, redemption arc, satisfying transformation, cathartic growth, unreliable narrator, untrustworthy storyteller, fourth wall breaks, meta, self-aware, keeps you guessing, mind bending, playful manipulation, you're in on it, clever structure, twisty narrative, not straightforward, intellectually engaging, winking at audience, layered storytelling""},""watch_context_data"":{""relevant_subquery_text"":""love to hate villain, villain redemption, complex antagonist, unreliable narrator, fourth wall breaks, self-aware, clever structure, film buff pick, conversation starter, twisty narrative, stylistically distinctive""},""narrative_techniques_data"":{""relevant_subquery_text"":""love-to-hate villain, redemption arc, unreliable narrator, fourth wall breaks""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
