query,results
"Taiwanese coming-of-age, light and breezy, nothing heavy","{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":null},""genres_preference"":{""result"":{""should_include"":[],""should_exclude"":[]}},""audio_languages_preference"":{""result"":{""should_include"":[""Mandarin""],""should_exclude"":[]}},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""no_preference""}}"
"something trashy and fun, totally panned, perfect for wine night","{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":null},""genres_preference"":{""result"":null},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""poorly_received""}}"
"brisk 90s action flick, nothing plodding","{""release_date_preference"":{""result"":{""first_date"":""1990-01-01"",""match_operation"":""between"",""second_date"":""1999-12-31""}},""duration_preference"":{""result"":null},""genres_preference"":{""result"":{""should_include"":[""Action""],""should_exclude"":[]}},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""no_preference""}}"
"everyone saw it but critics were mixed, big summer tentpole","{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":null},""genres_preference"":{""result"":null},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":true},""reception_preference"":{""reception_type"":""no_preference""}}"
"Portuguese thriller with English subtitles, won something at Sundance","{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":null},""genres_preference"":{""result"":{""should_include"":[""Thriller""],""should_exclude"":[]}},""audio_languages_preference"":{""result"":{""should_include"":[""Portuguese""],""should_exclude"":[]}},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""critically_acclaimed""}}"
"leisurely paced drama, I have all afternoon","{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":{""first_value"":120.0,""match_operation"":""greater_than"",""second_value"":null}},""genres_preference"":{""result"":{""should_include"":[""Drama""],""should_exclude"":[]}},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""no_preference""}}"
"late 2010s superhero film, appropriate for my 12-year-old","{""release_date_preference"":{""result"":{""first_date"":""2016-01-01"",""match_operation"":""between"",""second_date"":""2019-12-31""}},""duration_preference"":{""result"":null},""genres_preference"":{""result"":null},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":{""rating"":""PG"",""match_operation"":""less_than_or_equal""}},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""no_preference""}}"
arthouse darling that flopped commercially,"{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":null},""genres_preference"":{""result"":null},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""critically_acclaimed""}}"
"streaming free on Tubi, campy 80s horror, the cheesier the better","{""release_date_preference"":{""result"":{""first_date"":""1980-01-01"",""match_operation"":""between"",""second_date"":""1989-12-31""}},""duration_preference"":{""result"":null},""genres_preference"":{""result"":{""should_include"":[""Horror""],""should_exclude"":[]}},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":{""should_include"":[""Tubi TV""],""should_exclude"":[],""preferred_access_type"":""subscription""}},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""poorly_received""}}"
"beautifully shot but narratively messy, visually stunning","{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":null},""genres_preference"":{""result"":null},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""no_preference""}}"
"films from the silent era, slapstick preferred","{""release_date_preference"":{""result"":{""first_date"":""1895-01-01"",""match_operation"":""before"",""second_date"":null}},""duration_preference"":{""result"":null},""genres_preference"":{""result"":{""should_include"":[""Comedy""],""should_exclude"":[]}},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":null},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""no_preference""}}"
"I can only rent tonight, nothing on my subscriptions has what I want","{""release_date_preference"":{""result"":null},""duration_preference"":{""result"":null},""genres_preference"":{""result"":null},""audio_languages_preference"":{""result"":null},""watch_providers_preference"":{""result"":{""should_include"":[],""should_exclude"":[],""preferred_access_type"":""rent""}},""maturity_rating_preference"":{""result"":null},""popular_trending_preference"":{""prefers_trending_movies"":false,""prefers_popular_movies"":false},""reception_preference"":{""reception_type"":""no_preference""}}"
